player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg
J. Clemente,NU,0.045,7.404,0.931,153.596,0.976,161.0,165.0,65.0
I. Gaye,NU,-0.057,-4.485,0.867,68.485,0.81,64.0,79.0,32.0
A. Joson,NU,-0.213,-10.853,0.997,50.853,0.784,40.0,51.0,19.0
D. Ildefonso,NU,0.017,3.327,0.921,179.673,0.938,183.0,195.0,80.0
S. Ildefonso,NU,-0.238,-21.365,0.96,86.365,0.722,65.0,90.0,32.0
D. Yu,NU,-0.12,-6.363,0.894,47.363,0.774,41.0,53.0,15.0
M. Aquino,NU,-0.224,-7.397,0.891,29.397,0.667,22.0,33.0,10.0
J. Gallego,NU,-0.148,-9.617,0.825,53.617,0.677,44.0,65.0,20.0
A. Diputado,NU,-0.159,-6.851,0.973,41.851,0.814,35.0,43.0,17.0
T. Rike,NU,0.02,1.744,0.878,77.256,0.898,79.0,88.0,39.0
J. Sinclair,NU,0.083,2.9,0.917,32.1,1.0,35.0,35.0,17.0
M. Lee,UST,0.024,4.167,0.885,154.833,0.909,159.0,175.0,58.0
C. Cansino,UST,-0.007,-0.881,1.016,116.881,1.009,116.0,115.0,51.0
E. Caunan,UST,-0.152,-6.681,0.879,38.681,0.727,32.0,44.0,16.0
K. Zamora,UST,-0.369,-28.018,0.882,67.018,0.513,39.0,76.0,14.0
J. Marcos,UST,-0.114,-5.46,0.947,45.46,0.833,40.0,48.0,18.0
R. Subido,UST,-0.03,-6.021,0.873,172.021,0.843,166.0,197.0,62.0
S. Akomo,UST,0.006,0.178,1.065,29.822,1.071,30.0,28.0,15.0
Z. Huang,UST,-0.098,-9.89,0.9,90.89,0.802,81.0,101.0,40.0
I. Batalier,UST,-0.236,-7.309,0.881,27.309,0.645,20.0,31.0,9.0
R. Escoto,FEU,-0.179,-16.675,0.921,85.675,0.742,69.0,93.0,34.0
A. Inigo,FEU,-0.1,-5.785,0.893,51.785,0.793,46.0,58.0,18.0
K. Tuffin,FEU,0.197,11.221,0.961,54.779,1.158,66.0,57.0,25.0
H. Cani,FEU,0.027,3.329,0.881,105.671,0.908,109.0,120.0,49.0
B. Ebona,FEU,0.165,8.398,1.051,53.602,1.216,62.0,51.0,31.0
