p_id_retained,player,team,fg,fga,points
0,A. Pasaol,UE,125,294,273
1,A. Melecio,DLSU,78,203,188
2,R. Subido,UST,62,197,166
3,D. Ildefonso,NU,80,195,183
4,J. Ahanmisi,ADU,86,194,212
5,Ju. Gomez de Liaño,UP,78,180,179
6,B. Akhuetie,UP,106,177,212
7,P. Desiderio,UP,72,176,168
8,M. Lee,UST,59,176,162
9,S. Manganti,ADU,71,172,157
10,J. Clemente,NU,65,165,161
11,J. Baltazar,DLSU,71,149,144
12,P. Sarr,ADU,54,146,108
13,L. Santillian,DLSU,61,141,128
14,T. Ravena,ADMU,54,139,121
15,P. Manalang,UE,44,135,103
16,A. Kouame,ADMU,80,132,161
17,A. Caracut,DLSU,46,127,104
18,H. Cani,FEU,49,120,109
19,W. Comboy,FEU,42,119,102
20,A. Tolentino,FEU,51,117,127
21,C. Cansino,UST,51,115,116
22,J. Varilla,UE,39,111,91
23,Z. Huang,UST,40,101,81
24,R. Verano,ADMU,40,96,88
25,J. Manzo,UP,37,96,78
26,J. Parker,FEU,29,94,64
27,Ja. Gomez de Liaño,UP,43,94,98
28,R. Escoto,FEU,34,93,69
29,S. Ildefonso,NU,32,90,65
30,A. Asistio,ADMU,35,89,98
31,F. Serrano,DLSU,33,89,74
32,T. Rike,NU,39,88,79
33,J. Lastimosa,ADU,37,81,86
34,C. Conner,UE,33,81,76
35,J. Espeleta,ADU,27,80,59
36,I. Gaye,NU,32,79,64
37,K. Zamora,UST,14,76,39
38,S. Camacho,ADU,34,75,68
39,I. Go,ADMU,28,73,65
40,M. Nieto,ADMU,28,71,67
41,W. Bartolome,UE,32,69,64
42,T. Tio,ADMU,23,67,54
43,W. Navarro,ADMU,21,66,43
44,J. Gallego,NU,20,65,44
45,K. Montalbo,DLSU,19,61,41
46,A. Inigo,FEU,18,58,46
47,K. Tuffin,FEU,26,58,69
48,G. Mahinay,UST,23,57,46
49,J. Mendoza,ADMU,19,55,52
50,D. Yu,NU,15,53,41
51,B. Bienes,FEU,19,52,53
52,B. Ebona,FEU,31,51,62
53,A. Joson,NU,19,51,40
54,P. Orizu,FEU,37,51,74
55,S. Belangel,ADMU,18,50,40
56,J. Pingoy,ADU,14,50,39
57,M. Dyke,DLSU,22,50,46
58,A. Stockton,FEU,22,49,47
59,J. Marcos,UST,18,48,40
60,A. Wong,ADMU,9,47,22
61,J. Manuel,DLSU,13,46,32
62,J. Cullar,UE,19,44,41
63,E. Caunan,UST,16,44,32
64,C. Catapusan,ADU,14,43,29
65,A. Diputado,NU,17,43,35
66,M. Maloles,UE,12,42,29
67,L. Gonzales,FEU,17,41,38
68,V. Magbuhos,ADU,19,38,38
69,J. Go,DLSU,17,37,48
70,J. Nieto,ADMU,11,37,27
71,E. Mojica,ADU,7,36,18
72,D. Murrell,UP,16,36,32
73,D. Dario,UP,17,35,44
74,J. Sinclair,NU,17,35,35
75,M. Aquino,NU,11,34,25
76,G. Mamuyac,ADMU,16,32,35
77,F. Jaboneta,UP,10,31,23
78,I. Batalier,UST,9,31,20
79,C. Vito,UP,14,30,31
80,S. Akomo,UST,15,28,30
81,R. Acuno,UE,9,28,18
