0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1836.0,415.0,160.0,234.0,204.0,221.0,282.0,234.0,326.0,370.0,343.0,545.0,589.0,781.0,1083.0,1082.0,770.0,547.0,520.0,319.0,360.0,309.0,233.0,286.0,218.0,207.0,230.0,209.0,472.0,1825.0
1809.0,371.0,273.0,279.0,272.0,294.0,270.0,281.0,358.0,373.0,603.0,1072.0,1309.0,1543.0,1558.0,1546.0,1500.0,1253.0,994.0,581.0,347.0,334.0,277.0,274.0,292.0,270.0,252.0,318.0,443.0,1776.0
1703.0,378.0,320.0,306.0,276.0,317.0,302.0,365.0,432.0,495.0,692.0,1226.0,1778.0,1886.0,1928.0,1880.0,1807.0,1751.0,1106.0,611.0,468.0,420.0,353.0,308.0,329.0,285.0,282.0,373.0,463.0,1704.0
1703.0,381.0,340.0,323.0,291.0,337.0,325.0,413.0,472.0,565.0,806.0,1363.0,1889.0,2206.0,2282.0,2232.0,2124.0,1855.0,1230.0,702.0,521.0,459.0,383.0,328.0,345.0,299.0,292.0,386.0,469.0,1703.0
1810.0,374.0,315.0,332.0,319.0,359.0,352.0,419.0,509.0,585.0,906.0,1472.0,1869.0,2279.0,2469.0,2418.0,2196.0,1854.0,1362.0,801.0,552.0,486.0,389.0,356.0,361.0,334.0,303.0,357.0,458.0,1781.0
1854.0,457.0,251.0,322.0,291.0,321.0,424.0,432.0,535.0,641.0,857.0,1419.0,1804.0,2254.0,2582.0,2573.0,2196.0,1769.0,1306.0,742.0,626.0,535.0,407.0,419.0,336.0,307.0,306.0,267.0,509.0,1831.0
1897.0,498.0,170.0,216.0,306.0,310.0,405.0,460.0,471.0,587.0,729.0,972.0,1246.0,1543.0,1642.0,1603.0,1505.0,1249.0,887.0,672.0,590.0,467.0,444.0,409.0,335.0,337.0,231.0,196.0,531.0,1893.0
1856.0,1515.0,388.0,229.0,259.0,313.0,383.0,425.0,452.0,482.0,580.0,659.0,815.0,1036.0,1055.0,1047.0,1035.0,830.0,663.0,563.0,484.0,422.0,432.0,376.0,328.0,264.0,236.0,405.0,1517.0,1843.0
1951.0,1725.0,453.0,217.0,263.0,332.0,333.0,394.0,415.0,451.0,460.0,540.0,619.0,676.0,732.0,733.0,688.0,666.0,550.0,472.0,450.0,422.0,401.0,341.0,344.0,280.0,244.0,485.0,1728.0,1950.0
1613.0,1876.0,1376.0,433.0,252.0,264.0,324.0,351.0,419.0,409.0,409.0,417.0,520.0,557.0,569.0,567.0,558.0,528.0,412.0,386.0,397.0,416.0,362.0,332.0,280.0,297.0,500.0,1426.0,1877.0,1616.0
1241.0,1942.0,1773.0,599.0,281.0,282.0,309.0,349.0,356.0,390.0,391.0,403.0,388.0,446.0,483.0,484.0,451.0,413.0,406.0,402.0,385.0,356.0,355.0,281.0,280.0,327.0,670.0,1778.0,1939.0,1290.0
916.0,1604.0,1896.0,1612.0,596.0,311.0,283.0,283.0,310.0,311.0,361.0,375.0,421.0,408.0,419.0,427.0,430.0,434.0,390.0,365.0,311.0,307.0,265.0,260.0,312.0,646.0,1648.0,1907.0,1613.0,970.0
701.0,1254.0,1595.0,1938.0,1625.0,619.0,326.0,266.0,268.0,325.0,293.0,271.0,317.0,376.0,379.0,389.0,390.0,322.0,297.0,307.0,315.0,236.0,238.0,283.0,597.0,1650.0,1955.0,1596.0,1289.0,764.0
480.0,828.0,1325.0,1995.0,1842.0,1644.0,639.0,302.0,266.0,264.0,252.0,297.0,271.0,328.0,322.0,329.0,342.0,288.0,298.0,232.0,229.0,220.0,248.0,571.0,1636.0,1867.0,2011.0,1362.0,875.0,564.0
350.0,621.0,913.0,1354.0,2010.0,1959.0,1686.0,664.0,477.0,223.0,211.0,182.0,260.0,253.0,255.0,264.0,266.0,259.0,185.0,196.0,194.0,445.0,642.0,1686.0,1958.0,2006.0,1393.0,946.0,668.0,435.0
256.0,440.0,673.0,932.0,1343.0,1581.0,1933.0,1814.0,1454.0,496.0,412.0,165.0,183.0,208.0,239.0,248.0,227.0,192.0,189.0,415.0,492.0,1484.0,1832.0,1926.0,1571.0,1329.0,926.0,670.0,460.0,305.0
149.0,288.0,435.0,647.0,849.0,1270.0,1616.0,1952.0,1910.0,1764.0,1566.0,574.0,520.0,474.0,495.0,501.0,499.0,562.0,607.0,1587.0,1768.0,1902.0,1940.0,1594.0,1231.0,836.0,651.0,459.0,319.0,203.0
90.0,179.0,295.0,424.0,564.0,775.0,970.0,1266.0,1607.0,1956.0,1856.0,1897.0,1824.0,1771.0,1780.0,1780.0,1777.0,1833.0,1900.0,1845.0,1939.0,1576.0,1201.0,924.0,741.0,539.0,427.0,302.0,192.0,119.0
45.0,96.0,146.0,229.0,336.0,452.0,572.0,709.0,889.0,1191.0,1331.0,1587.0,1538.0,1934.0,1929.0,1929.0,1935.0,1542.0,1588.0,1300.0,1147.0,863.0,691.0,553.0,441.0,351.0,254.0,172.0,110.0,70.0
30.0,53.0,71.0,107.0,162.0,230.0,297.0,387.0,472.0,636.0,707.0,857.0,1040.0,1140.0,1113.0,1116.0,1139.0,1046.0,870.0,715.0,653.0,488.0,404.0,318.0,249.0,191.0,136.0,95.0,58.0,42.0
23.0,31.0,33.0,50.0,75.0,92.0,125.0,173.0,217.0,278.0,363.0,394.0,502.0,521.0,636.0,643.0,532.0,531.0,447.0,394.0,303.0,246.0,190.0,140.0,101.0,79.0,62.0,45.0,38.0,33.0
18.0,26.0,29.0,32.0,48.0,53.0,69.0,77.0,96.0,114.0,160.0,221.0,269.0,294.0,307.0,309.0,298.0,280.0,243.0,173.0,117.0,100.0,72.0,61.0,47.0,36.0,30.0,30.0,26.0,22.0
13.0,20.0,23.0,25.0,29.0,31.0,42.0,45.0,54.0,62.0,68.0,82.0,98.0,103.0,109.0,111.0,104.0,102.0,80.0,68.0,55.0,51.0,40.0,33.0,25.0,24.0,25.0,24.0,21.0,19.0
11.0,14.0,17.0,20.0,23.0,24.0,25.0,26.0,26.0,33.0,39.0,42.0,45.0,51.0,51.0,53.0,50.0,44.0,40.0,39.0,32.0,25.0,24.0,24.0,24.0,23.0,19.0,16.0,15.0,12.0
9.0,13.0,14.0,16.0,18.0,20.0,20.0,21.0,20.0,20.0,23.0,24.0,26.0,27.0,26.0,26.0,24.0,22.0,22.0,20.0,20.0,21.0,23.0,23.0,19.0,17.0,17.0,13.0,12.0,9.0
9.0,11.0,12.0,15.0,14.0,15.0,15.0,17.0,18.0,17.0,18.0,21.0,21.0,21.0,22.0,22.0,21.0,20.0,21.0,17.0,18.0,17.0,17.0,15.0,15.0,13.0,12.0,10.0,10.0,10.0
6.0,9.0,11.0,12.0,11.0,12.0,12.0,11.0,13.0,15.0,15.0,17.0,16.0,17.0,17.0,16.0,15.0,14.0,15.0,13.0,13.0,12.0,12.0,10.0,9.0,9.0,10.0,9.0,8.0,7.0
5.0,6.0,7.0,8.0,9.0,9.0,9.0,9.0,11.0,14.0,12.0,14.0,14.0,14.0,14.0,13.0,11.0,11.0,11.0,9.0,10.0,9.0,8.0,8.0,7.0,7.0,6.0,5.0,4.0,4.0
