p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
4,J. Ahanmisi,ADU,0.04306091816045464,0.3218321955726484,0.16374845057391774,0.3557343750466503,0.11562406064632895
9,S. Manganti,ADU,0.2703687401303446,0.15317335501501167,0.13842423401062762,0.1898704935009441,0.24816317734307206
12,P. Sarr,ADU,0.4861856261705281,2.672288385061121e-17,0.2642111746060878,0.23940379216014504,0.01019940706323914
33,J. Lastimosa,ADU,0.2717936947078111,0.3892409854491319,0.025005683407272432,0.14623036488679608,0.1677292715489885
35,J. Espeleta,ADU,0.1899265904395184,0.1738751952826428,0.4310401700521688,2.509480209773874e-15,0.20515804422566744
38,S. Camacho,ADU,0.7586007354233557,2.102425310424497e-18,0.20382550975645225,2.0970534134801485e-07,0.037573545114850684
56,J. Pingoy,ADU,0.012575162306976844,0.8294775146699839,0.06551430311617644,2.7064573262177205e-08,0.0924329928422896
64,C. Catapusan,ADU,0.4027089111045837,0.08044949536668054,0.055252254839681034,0.4426968154433445,0.01889252324571021
68,V. Magbuhos,ADU,0.9162914351698938,0.014496974007056785,0.06921159082304723,2.1862225040789976e-15,1.6887556346559335e-67
71,E. Mojica,ADU,0.08277257024490033,0.1872995801803031,4.52267289158753e-36,0.1576483927304439,0.5722794568443527
