p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
2,R. Subido,UST,0.08309811994155741,0.4141004732584978,0.11507836715169732,0.10212342824091848,0.2855996114073289
8,M. Lee,UST,0.050902360389382714,0.251477467174328,0.06510397220254889,0.061906662731323725,0.5706095375024166
21,C. Cansino,UST,0.5914961635429862,0.07119550692614793,7.097378361566901e-36,0.008032303191800403,0.3292760263390655
23,Z. Huang,UST,0.19698040530934954,0.030601945781189775,0.1565610161190648,0.6077989630065436,0.008057669783852188
37,K. Zamora,UST,0.08627972425855136,0.6522265835013741,4.4545317920688836e-43,1.0182046506606504e-05,0.261483510193568
48,G. Mahinay,UST,0.6271960378632208,6.298185502134195e-23,0.37280363305466463,3.2908203472233657e-07,7.9828679443936e-14
59,J. Marcos,UST,0.3299992152388931,0.1083402258934224,2.455916578280924e-21,0.4506175828533402,0.11104297601434422
63,E. Caunan,UST,0.4305429513512545,3.293041753192289e-27,0.5693528711104132,5.041477318984829e-09,0.00010417249685485612
78,I. Batalier,UST,0.2530714851703423,0.24217954910325395,0.13870359610572874,0.3660453696206751,2.9458080747235426e-26
80,S. Akomo,UST,0.9707314483603312,5.3632040178604495e-14,0.02926855163936612,2.4930754860001254e-13,1.0487608744852397e-80
