p_id_retained,b1,b2,b3,b4,b5,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
0,0.013103344679228884,0.007533688284953027,0.003138752144272825,6.866275423462682e-08,0.0038758613910474297,A. Pasaol,UE,0.4738709552857857,0.2724492220734373,0.11351021540092779,2.4831282194150842e-06,0.14016712411162985
1,0.005499633481048661,0.00861545231076712,0.00642873371455419,0.003855140989896203,0.007014116129711465,A. Melecio,DLSU,0.1750746527164625,0.2742632443599112,0.20465151475286653,0.12272408194198084,0.22328650622877885
2,0.0026094800256450572,0.013003746827704258,0.0036137363959304796,0.003206920280897977,0.008968511944958058,R. Subido,UST,0.08309811994155741,0.4141004732584978,0.11507836715169731,0.10212342824091847,0.2855996114073289
3,0.009243764841852176,0.007910100580826845,0.003306984993425166,0.002829544538035402,0.006630638271420936,D. Ildefonso,NU,0.30893869112633254,0.2643658900812795,0.11052375659942522,0.09456707315903176,0.22160458903393104
4,0.0015210794523275205,0.011368367436079748,0.005784233457130378,0.012565924543312587,0.004084292447932912,J. Ahanmisi,ADU,0.04306091816045464,0.3218321955726484,0.16374845057391774,0.3557343750466503,0.11562406064632895
5,0.007732011299944834,0.006506033249882165,0.0063014228454589365,0.0017302157694931988,0.008032940154812075,Ju. Gomez de Liaño,UP,0.2551597998100034,0.2147019807910787,0.20794974675954703,0.057097887243794575,0.2650905853955763
6,0.023947015391158576,8.705664200872724e-09,0.000804779782807305,4.052366448677135e-05,0.0006428817288509633,B. Akhuetie,UP,0.9414907946760686,3.4226823563527673e-07,0.031640383775517575,0.0015932113650757077,0.02527526791510259
7,0.008662264941997391,0.007746196628216464,0.002226545256854425,0.0033294409331092547,0.008361165470915434,P. Desiderio,UP,0.2856418723007368,0.25543412986202235,0.0734212772512557,0.10978973146355261,0.27571298912243264
8,0.0016296992539163056,0.008051348454093459,0.0020843806478493343,0.001982015004685918,0.0182687390217602,M. Lee,UST,0.05090236038938271,0.251477467174328,0.06510397220254889,0.06190666273132373,0.5706095375024166
9,0.008572727080852726,0.00485674996291808,0.004389091649341962,0.006020325873123121,0.007868643356675687,S. Manganti,ADU,0.2703687401303446,0.15317335501501167,0.13842423401062762,0.1898704935009441,0.24816317734307203
10,0.0072221842870308535,0.008159887079917187,0.003653661773505721,4.3595735513963664e-05,0.010437595712601631,J. Clemente,NU,0.24467943011338306,0.2764477395140672,0.12378192594362043,0.001476974180800883,0.3536139302481284
11,0.01323668219170953,0.004061663415593607,0.005906055644029034,0.007769869432101486,3.766428692595868e-27,J. Baltazar,DLSU,0.4273444345790219,0.13113023570772744,0.19067618102749523,0.2508491486857555,1.2159862393823246e-25
12,0.01502119985074359,8.2563070008870685e-19,0.008163073202755939,0.007396623868518252,0.0003151210640733009,P. Sarr,ADU,0.4861856261705281,2.672288385061121e-17,0.2642111746060878,0.23940379216014504,0.01019940706323914
13,0.01313013444702938,0.0050948646356298675,0.006075043364547687,0.005864008195441469,6.495863720333322e-29,L. Santillian,DLSU,0.43529082358935317,0.16890518770136034,0.20140011819096648,0.19440387051832006,2.1535117406111692e-27
14,0.013123840407725178,0.011466708314176378,0.0023087829265611578,0.0001472111813113118,8.016744288079832e-17,T. Ravena,ADMU,0.48523171668646087,0.4239620710989091,0.0853633287290064,0.00544288348562075,2.9640550877558457e-15
15,0.010802760813024549,0.010943085070525646,0.001933358204719992,0.0013551900308977711,0.003263031358567567,P. Manalang,UE,0.38175772638836647,0.38671663184114363,0.06832275982990617,0.047890930288482875,0.11531195165210091
16,0.02103375912883095,0.002228066646356834,0.0007904661654572762,0.003075315434184537,7.036435937076208e-29,A. Kouame,ADMU,0.7753635931913098,0.08213281088785404,0.02913880883541214,0.11336478708542408,2.593828434572884e-27
17,0.0065693667267957435,0.007471279162571152,0.006558564713773517,0.00827391334928136,0.0038970832416590595,A. Caracut,DLSU,0.20046765917251647,0.2279899885381458,0.20013803009943032,0.2524827902453985,0.11892153194450893
18,0.00673880729553147,0.004616756724966922,0.008953839836043573,0.0027257776808266468,0.008186469838827185,H. Cani,FEU,0.21583763185150778,0.14787035667456264,0.2867830316903165,0.08730408420692477,0.26220489557668825
19,0.003991082640286135,0.007481839818901494,0.003994752758846378,0.0099211642313776,0.008783200141345695,W. Comboy,FEU,0.11679380827375678,0.2189462469464406,0.11690120948843978,0.2903298822719681,0.25702885301939465
20,0.006651206176109004,0.017372259943853254,0.0021294763703139387,0.003129617773642197,1.0238869774880609e-10,A. Tolentino,FEU,0.22713881890471477,0.5932630113807266,0.07272165902419322,0.10687650719378958,3.4965759984094805e-09
21,0.016272367488057292,0.0019586254714847586,1.95252574774831e-37,0.00022097284372829732,0.009058554959177031,C. Cansino,UST,0.5914961635429862,0.07119550692614793,7.097378361566901e-36,0.008032303191800403,0.3292760263390655
22,0.004670750135366477,0.00921959089433117,0.007113855051047755,1.0681256406752052e-05,0.00912327569445409,J. Varilla,UE,0.15497798191110798,0.30591094565955895,0.23604150671036042,0.0003544097873400035,0.30271515593163256
23,0.007668586449946227,0.0011913553857860926,0.006095031051007222,0.02366204336255429,0.000313690781707703,Z. Huang,UST,0.19698040530934954,0.030601945781189775,0.1565610161190648,0.6077989630065436,0.008057669783852188
24,0.009093962528796849,0.004893458408186592,0.008374379613521351,0.0059447474764454025,0.003179858855187051,R. Verano,ADMU,0.28882185772540475,0.15541495180775075,0.2659680936243085,0.1888036160714786,0.10099148077105734
25,0.01668859625614872,0.007150693121987706,0.0010476179874715458,0.002614326912427571,1.5071891522196716e-29,J. Manzo,UP,0.6068308093894328,0.26001353429066865,0.038093489800501375,0.09506216651939728,5.480441848471583e-28
26,0.009006146721036558,0.005950417417784034,0.008300574317829145,0.0008556046058617808,0.005345683994794456,J. Parker,FEU,0.30572395136769354,0.20199372513028574,0.281772489131273,0.029044476957216993,0.18146535741353087
27,0.015465991497757287,0.00474542279969589,0.00045177129288770965,1.970556576941019e-11,0.006724915832171306,Ja. Gomez de Liaño,UP,0.5646974665398684,0.17326585450647536,0.016495166480993115,7.19493675419019e-10,0.24554151175316935
28,0.013164638805060223,0.005709002015145887,0.0049743959292460685,0.003442723068930402,0.001898005649361229,R. Escoto,FEU,0.4510173210171675,0.19558901939360346,0.17042159370334523,0.11794685433801298,0.06502521154787086
29,0.01827343221606036,0.002524284800947505,0.004639712257949265,7.230327331748576e-10,0.001363133858063928,S. Ildefonso,NU,0.6818301403734347,0.09418774972442648,0.1731199493737977,2.6978265720761574e-08,0.05086213355007526
30,0.0033090349060481915,0.007668602352152522,0.002895025492290702,0.0010667749597742132,0.016310122245826626,A. Asistio,ADMU,0.1058906080820853,0.24539873082780772,0.09264212028452268,0.034137279413633474,0.5219312613919509
31,0.012101283759806809,0.0022624534761096337,0.0034004877038983626,0.004844311793258939,0.008159317584173872,F. Serrano,DLSU,0.3933093167638655,0.07353302745071061,0.11052079449011634,0.15744717663146732,0.2651896846638403
32,0.010174262429840585,0.005266230436404464,0.013106600969855942,7.892493496693537e-16,0.00028058401318181513,T. Rike,NU,0.3529338187776866,0.18267966167574393,0.4546533729972863,2.737817987961759e-14,0.009733146549255894
33,0.008224407281528108,0.011778332085438973,0.0007566655470629928,0.00442489322295862,0.005075444607851903,J. Lastimosa,ADU,0.2717936947078111,0.3892409854491319,0.025005683407272432,0.14623036488679608,0.1677292715489885
34,0.011905073315612741,0.004749486163858711,0.004000097045007522,2.23358390204283e-06,0.007955243290958508,C. Conner,UE,0.4160847829644033,0.16599552705735487,0.13980422183757396,7.806422089778142e-05,0.2780374039197701
35,0.005750865885063708,0.005264839043841871,0.013051643813057665,7.598559050754308e-17,0.006212065381963975,J. Espeleta,ADU,0.18992659043951837,0.1738751952826428,0.4310401700521688,2.509480209773874e-15,0.20515804422566744
36,0.01114038859546498,1.799851942169509e-16,0.015598557219530048,0.004099046609465328,2.7345282312008687e-11,I. Gaye,NU,0.36125531235132713,5.83647572059806e-15,0.5058227199422193,0.13292196681970767,8.867400287079127e-10
37,0.002521969551129277,0.01906468290392703,1.3020664635494143e-44,2.9762277845132023e-07,0.007643203041011348,K. Zamora,UST,0.08627972425855136,0.6522265835013741,4.454531792068884e-43,1.0182046506606505e-05,0.26148351019356797
38,0.020176645298507424,5.591859824834731e-20,0.005421185112413991,5.577572090303894e-09,0.00099935058982869,S. Camacho,ADU,0.7586007354233557,2.1024253104244975e-18,0.20382550975645222,2.0970534134801485e-07,0.037573545114850684
39,0.008565179805553809,0.013163178462410918,0.0027149062746516612,0.0010862492189457485,0.003070707892798996,I. Go,ADMU,0.29947949037128313,0.46024742820144254,0.0949260571285704,0.037980447566919845,0.10736657673178404
40,0.011016726969357958,0.006481768363816472,0.001249825081364368,7.416194017163253e-14,0.009767390638938452,M. Nieto,ADMU,0.38633884838673554,0.22730516351648955,0.04382935003855398,2.6007396425205476e-12,0.34252663805562017
41,0.013447001632287974,0.00029981343379163663,0.01480015522374364,1.3189267959469502e-09,9.357420769914783e-20,W. Bartolome,UE,0.47104827147991696,0.010502460222426522,0.51844922209567,4.6201986467197825e-08,3.2779031338814944e-18
42,0.0002127608659072969,0.016930303714161748,0.006236221408375135,0.008491990680672487,0.0013975179829079055,T. Tio,ADMU,0.006395208126193694,0.5088944126543957,0.18744957470214896,0.2552539329871906,0.04200687153007088
43,0.01004995378452489,0.008770780394375306,0.005108852663310052,0.0020973303012999105,0.0031051678369669318,W. Navarro,ADMU,0.3449788709342253,0.30106943599310027,0.17536858988066792,0.07199382751716671,0.10658927567483976
44,0.003448696537388246,0.004190955658566644,0.012711790719732163,0.013574271088563131,0.002281517394416642,J. Gallego,NU,0.09524883301392743,0.11574913343749774,0.3510843063300394,0.37490497241009557,0.06301275480843999
45,0.005668945634724333,0.002156433368640092,0.0023911962765003005,0.021786107021853157,0.00704743040210918,K. Montalbo,DLSU,0.1451710441329598,0.055222206015009864,0.06123404289857411,0.5579012584954213,0.1804714484580349
46,0.0038152058117834203,0.009038358417266064,0.0010527148139635731,0.009671274693552407,0.010331144954069556,A. Inigo,FEU,0.11251407335301582,0.26654984609486937,0.031045568087645727,0.28521515324984853,0.30467535921462047
47,0.00498886175142517,0.001756936771692257,2.638363870634526e-31,0.0009906216001129779,0.024094710608948727,K. Tuffin,FEU,0.15672901454241356,0.055195550119622745,8.288627547771397e-30,0.031121156469365575,0.7569542788685982
48,0.01721850090098686,1.7290497100801173e-24,0.01023463048891709,9.034335310327407e-09,2.191547946656132e-15,G. Mahinay,UST,0.6271960378632208,6.298185502134195e-23,0.37280363305466463,3.2908203472233657e-07,7.9828679443936e-14
49,0.0023054055248552443,0.013941621875553877,0.0026312950073311115,1.855630136306604e-12,0.0114608215026618,J. Mendoza,ADMU,0.07598782389913815,0.4595258823345099,0.0867293755862377,6.116290366244942e-11,0.3777569181189514
50,3.48044864155688e-43,0.0050737290949366175,0.0052409105469487394,3.833030110772544e-06,0.02202971209329364,D. Yu,NU,1.0759332144323192e-41,0.1568474129769664,0.1620155994834164,0.00011849289654377946,0.6810184946430734
51,0.0033310784856343803,0.008626987422742573,0.0018937764470382714,3.067669307749159e-19,0.016367224694270606,B. Bienes,FEU,0.11023101673382109,0.285481593742063,0.06266826318378879,1.0151436186647766e-17,0.5416191263403272
52,0.024837432699508798,4.494589688851384e-19,0.00024288794978726905,2.0466154176528748e-07,1.127098241038911e-26,B. Ebona,FEU,0.9903075151610166,1.7920636163506412e-17,0.009684324661346385,8.160177636983099e-06,4.493917998407584e-25
53,0.011773508895562676,6.976819660772888e-06,0.0020154076396658393,0.016521530102004415,0.004929393943414089,A. Joson,NU,0.3340304107984474,0.00019794183348627564,0.05717984738242607,0.4687382101585189,0.13985358982712132
54,0.025064860494465442,1.2217714554313563e-43,6.389506502323258e-41,3.745174399594938e-16,6.658927375221932e-17,P. Orizu,FEU,0.9999999999999825,4.874439479529972e-42,2.549188934737542e-39,1.494193195458575e-14,2.65667841107361e-15
55,0.006281891023166332,0.0116074947770758,0.0102385123409329,6.199715886002142e-12,0.0010551214690605354,S. Belangel,ADMU,0.2152584312977845,0.39774824297272837,0.3508380035891412,2.1244257679594566e-10,0.03615532192790332
