0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1835.0,415.0,160.0,234.0,204.0,221.0,282.0,232.0,324.0,370.0,343.0,545.0,588.0,781.0,1083.0,1082.0,770.0,547.0,517.0,319.0,360.0,308.0,232.0,286.0,217.0,205.0,230.0,208.0,471.0,1824.0
1798.0,360.0,272.0,279.0,272.0,294.0,270.0,277.0,357.0,369.0,600.0,1071.0,1306.0,1534.0,1552.0,1543.0,1498.0,1251.0,994.0,581.0,347.0,332.0,277.0,273.0,292.0,270.0,251.0,318.0,434.0,1754.0
1682.0,336.0,319.0,305.0,274.0,316.0,295.0,362.0,428.0,492.0,684.0,1215.0,1761.0,1849.0,1877.0,1842.0,1772.0,1743.0,1098.0,610.0,463.0,417.0,346.0,306.0,323.0,285.0,280.0,373.0,429.0,1638.0
1668.0,331.0,336.0,317.0,287.0,330.0,315.0,404.0,460.0,553.0,787.0,1332.0,1816.0,1894.0,2086.0,2006.0,1849.0,1783.0,1200.0,694.0,507.0,451.0,371.0,319.0,338.0,294.0,288.0,384.0,441.0,1649.0
1805.0,358.0,314.0,331.0,315.0,351.0,339.0,414.0,494.0,566.0,891.0,1422.0,1776.0,2135.0,2344.0,2269.0,2063.0,1797.0,1323.0,777.0,540.0,476.0,378.0,339.0,353.0,329.0,299.0,352.0,444.0,1770.0
1852.0,442.0,251.0,320.0,289.0,321.0,411.0,427.0,515.0,624.0,833.0,1387.0,1748.0,2190.0,2497.0,2489.0,2130.0,1716.0,1274.0,720.0,619.0,525.0,398.0,410.0,330.0,307.0,305.0,267.0,500.0,1824.0
1895.0,489.0,169.0,214.0,301.0,306.0,398.0,445.0,455.0,573.0,714.0,958.0,1220.0,1509.0,1597.0,1541.0,1471.0,1225.0,863.0,659.0,576.0,457.0,437.0,396.0,331.0,334.0,227.0,195.0,521.0,1886.0
1850.0,1506.0,387.0,227.0,255.0,309.0,371.0,419.0,442.0,471.0,563.0,639.0,792.0,1016.0,1023.0,1014.0,1013.0,811.0,644.0,551.0,480.0,405.0,421.0,360.0,322.0,262.0,234.0,405.0,1502.0,1830.0
1949.0,1707.0,452.0,217.0,261.0,330.0,328.0,381.0,405.0,445.0,455.0,531.0,607.0,659.0,714.0,704.0,676.0,651.0,539.0,463.0,440.0,414.0,388.0,334.0,335.0,276.0,243.0,483.0,1709.0,1947.0
1610.0,1855.0,1360.0,432.0,250.0,262.0,314.0,346.0,407.0,401.0,403.0,408.0,510.0,549.0,547.0,543.0,548.0,522.0,400.0,378.0,389.0,408.0,355.0,323.0,275.0,297.0,500.0,1418.0,1853.0,1613.0
1237.0,1930.0,1746.0,597.0,277.0,277.0,304.0,336.0,346.0,386.0,385.0,393.0,384.0,440.0,472.0,473.0,445.0,405.0,397.0,394.0,380.0,348.0,346.0,270.0,276.0,327.0,667.0,1747.0,1919.0,1284.0
913.0,1598.0,1871.0,1598.0,591.0,310.0,279.0,269.0,301.0,304.0,355.0,371.0,416.0,403.0,413.0,419.0,425.0,431.0,384.0,362.0,308.0,300.0,258.0,252.0,311.0,644.0,1630.0,1851.0,1599.0,969.0
700.0,1245.0,1573.0,1891.0,1599.0,618.0,322.0,260.0,263.0,320.0,284.0,266.0,316.0,370.0,366.0,373.0,381.0,317.0,291.0,303.0,309.0,229.0,233.0,279.0,595.0,1637.0,1904.0,1570.0,1281.0,762.0
479.0,827.0,1312.0,1959.0,1808.0,1635.0,637.0,302.0,258.0,261.0,250.0,294.0,270.0,319.0,305.0,320.0,335.0,283.0,290.0,227.0,224.0,219.0,246.0,570.0,1630.0,1828.0,1970.0,1337.0,869.0,560.0
349.0,618.0,902.0,1333.0,1970.0,1910.0,1672.0,660.0,476.0,222.0,210.0,181.0,257.0,249.0,247.0,260.0,262.0,252.0,183.0,195.0,193.0,445.0,642.0,1680.0,1914.0,1973.0,1371.0,930.0,664.0,435.0
256.0,440.0,667.0,928.0,1318.0,1551.0,1894.0,1790.0,1446.0,493.0,410.0,162.0,182.0,208.0,237.0,244.0,224.0,190.0,188.0,414.0,492.0,1479.0,1819.0,1888.0,1545.0,1313.0,914.0,657.0,456.0,305.0
148.0,287.0,435.0,640.0,837.0,1259.0,1595.0,1927.0,1881.0,1754.0,1562.0,570.0,519.0,474.0,493.0,501.0,499.0,561.0,607.0,1586.0,1760.0,1888.0,1907.0,1561.0,1214.0,825.0,647.0,455.0,318.0,201.0
90.0,178.0,295.0,424.0,561.0,775.0,964.0,1255.0,1598.0,1942.0,1843.0,1889.0,1814.0,1761.0,1770.0,1765.0,1762.0,1822.0,1887.0,1832.0,1917.0,1564.0,1191.0,917.0,735.0,534.0,425.0,298.0,192.0,118.0
45.0,95.0,146.0,227.0,335.0,451.0,570.0,704.0,886.0,1186.0,1327.0,1580.0,1527.0,1921.0,1901.0,1887.0,1917.0,1531.0,1579.0,1293.0,1142.0,858.0,688.0,553.0,438.0,350.0,252.0,170.0,110.0,70.0
30.0,53.0,71.0,107.0,158.0,230.0,295.0,386.0,471.0,633.0,706.0,853.0,1036.0,1136.0,1104.0,1107.0,1133.0,1043.0,865.0,713.0,651.0,488.0,404.0,318.0,248.0,191.0,134.0,95.0,58.0,40.0
22.0,31.0,33.0,50.0,75.0,91.0,125.0,171.0,216.0,277.0,362.0,394.0,502.0,520.0,632.0,643.0,529.0,530.0,445.0,393.0,303.0,245.0,189.0,140.0,101.0,79.0,61.0,45.0,38.0,33.0
18.0,26.0,29.0,32.0,47.0,53.0,69.0,77.0,96.0,114.0,160.0,221.0,267.0,293.0,307.0,309.0,298.0,280.0,243.0,173.0,116.0,100.0,72.0,61.0,47.0,35.0,30.0,29.0,26.0,22.0
13.0,20.0,23.0,25.0,28.0,30.0,42.0,45.0,54.0,62.0,68.0,82.0,98.0,102.0,108.0,110.0,104.0,102.0,80.0,68.0,55.0,51.0,40.0,32.0,25.0,23.0,25.0,24.0,21.0,18.0
11.0,14.0,16.0,20.0,22.0,24.0,25.0,26.0,26.0,33.0,39.0,42.0,45.0,51.0,51.0,53.0,50.0,44.0,40.0,39.0,32.0,25.0,24.0,24.0,24.0,23.0,19.0,16.0,15.0,12.0
9.0,13.0,14.0,16.0,18.0,20.0,19.0,21.0,20.0,20.0,23.0,23.0,25.0,27.0,26.0,26.0,24.0,22.0,22.0,20.0,20.0,21.0,23.0,23.0,19.0,17.0,17.0,13.0,12.0,9.0
9.0,11.0,12.0,15.0,14.0,15.0,15.0,17.0,18.0,17.0,18.0,21.0,20.0,21.0,22.0,22.0,21.0,20.0,21.0,17.0,18.0,17.0,17.0,15.0,15.0,12.0,11.0,10.0,10.0,10.0
6.0,9.0,11.0,12.0,10.0,11.0,12.0,11.0,13.0,15.0,15.0,17.0,15.0,17.0,17.0,15.0,15.0,14.0,15.0,13.0,13.0,11.0,12.0,10.0,9.0,9.0,10.0,9.0,8.0,7.0
5.0,6.0,6.0,8.0,9.0,9.0,9.0,9.0,11.0,14.0,12.0,14.0,14.0,14.0,14.0,13.0,11.0,11.0,11.0,9.0,10.0,9.0,8.0,8.0,7.0,6.0,6.0,5.0,4.0,4.0
