0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.936819,0.886747,0.875,0.816239,0.72549,0.651584,0.624113,0.57265,0.650307,0.648649,0.717201,0.781651,0.862479,0.929577,0.951062,0.951941,0.950649,0.844607,0.796154,0.746082,0.683333,0.647249,0.540773,0.615385,0.614679,0.676329,0.782609,0.875598,0.885593,0.935342
0.940851,0.865229,0.89011,0.860215,0.691176,0.680272,0.674074,0.626335,0.636872,0.659517,0.776119,0.975746,1.07563,1.134154,1.224647,1.241915,1.145333,1.09178,1.006036,0.833046,0.680115,0.592814,0.584838,0.664234,0.643836,0.607407,0.730159,0.930818,0.925508,0.922297
0.931298,0.857143,0.8375,0.810458,0.652174,0.662461,0.622517,0.580822,0.643519,0.686869,0.748555,0.955954,1.03937,1.168611,1.171162,1.18617,1.187604,1.054255,0.9783,0.782324,0.713675,0.652381,0.600567,0.636364,0.650456,0.631579,0.737589,0.911528,0.928726,0.92723
0.931298,0.860892,0.85,0.820433,0.646048,0.658754,0.621538,0.571429,0.652542,0.693805,0.756824,0.950844,1.032292,1.130553,1.135846,1.151434,1.150659,1.042588,0.972358,0.80057,0.706334,0.649237,0.600522,0.621951,0.643478,0.615385,0.736301,0.911917,0.923241,0.927775
0.939227,0.868984,0.87619,0.798193,0.658307,0.651811,0.636364,0.582339,0.64833,0.704274,0.772627,0.959239,1.044409,1.075033,1.118672,1.133168,1.075592,1.023732,0.964758,0.818976,0.673913,0.62963,0.611825,0.634831,0.637119,0.628743,0.686469,0.89916,0.923581,0.921954
0.928803,0.897155,0.856574,0.76087,0.687285,0.641745,0.617925,0.569444,0.672897,0.714509,0.779463,0.940099,1.006652,1.062112,1.084431,1.085892,1.046448,1.00961,0.937213,0.787062,0.667732,0.646729,0.609337,0.606205,0.625,0.664495,0.683007,0.962547,0.962672,0.921354
0.914075,0.927711,0.9,0.847222,0.663399,0.612903,0.597531,0.617391,0.611465,0.715503,0.78738,0.837449,0.886035,0.900843,0.900122,0.894573,0.878405,0.83747,0.807215,0.738095,0.630508,0.616702,0.635135,0.581907,0.591045,0.667656,0.761905,0.862245,0.913371,0.918119
0.914871,0.921452,0.93299,0.978166,0.679537,0.632588,0.642298,0.654118,0.619469,0.701245,0.786207,0.813354,0.841718,0.832046,0.832227,0.844317,0.834783,0.8,0.793363,0.721137,0.590909,0.625592,0.662037,0.643617,0.597561,0.67803,0.775424,0.864198,0.922215,0.914813
0.876474,0.927536,0.966887,1.0553,0.787072,0.653614,0.642643,0.654822,0.698795,0.682927,0.752174,0.751852,0.749596,0.751479,0.743169,0.75307,0.726744,0.726727,0.687273,0.644068,0.582222,0.668246,0.658354,0.627566,0.633721,0.771429,0.827869,0.894845,0.926505,0.876923
0.868568,0.915778,0.925872,0.963048,0.821429,0.662879,0.654321,0.621083,0.620525,0.704156,0.674817,0.709832,0.696154,0.675045,0.681898,0.663139,0.659498,0.689394,0.660194,0.632124,0.644836,0.634615,0.635359,0.668675,0.7,0.821549,0.842,0.920056,0.914225,0.85953
0.857373,0.874356,0.924986,0.959933,0.761566,0.716312,0.673139,0.618911,0.629213,0.676923,0.695652,0.694789,0.685567,0.699552,0.679089,0.694215,0.669623,0.615012,0.694581,0.696517,0.65974,0.640449,0.664789,0.75089,0.903571,0.944954,0.91194,0.919573,0.880351,0.851163
0.805677,0.854738,0.90981,0.921216,0.823826,0.713826,0.763251,0.699647,0.670968,0.649518,0.686981,0.656,0.703088,0.715686,0.725537,0.725995,0.711628,0.663594,0.65641,0.690411,0.649518,0.690554,0.766038,0.842308,0.942308,0.941176,0.917476,0.906135,0.859268,0.804124
0.761769,0.830144,0.846395,0.909701,0.895385,0.814216,0.825153,0.796992,0.705224,0.652308,0.668942,0.649446,0.687697,0.702128,0.717678,0.714653,0.717949,0.652174,0.659933,0.631922,0.64127,0.690678,0.785714,0.890459,0.931323,0.922424,0.914066,0.864662,0.847168,0.781414
0.775,0.753623,0.834717,0.865664,0.914767,0.899635,0.892019,0.864238,0.774436,0.75,0.722222,0.710438,0.760148,0.713415,0.73913,0.735562,0.707602,0.708333,0.697987,0.711207,0.79476,0.781818,0.842742,0.908932,0.915037,0.92662,0.882645,0.864905,0.812571,0.829787
0.668571,0.742351,0.757941,0.827917,0.873134,0.907095,0.921708,0.90512,0.842767,0.780269,0.763033,0.818681,0.788462,0.743083,0.8,0.806818,0.785714,0.737452,0.816216,0.770408,0.793814,0.791011,0.839564,0.912811,0.912666,0.884347,0.849964,0.80444,0.844311,0.813793
0.621094,0.702273,0.780089,0.766094,0.83172,0.853257,0.906363,0.938258,0.918157,0.860887,0.832524,0.793939,0.803279,0.745192,0.803347,0.842742,0.810573,0.765625,0.756614,0.816867,0.810976,0.886792,0.912118,0.904465,0.855506,0.843491,0.788337,0.850746,0.867391,0.806557
0.563758,0.677083,0.765517,0.795981,0.76914,0.826772,0.855817,0.879098,0.912565,0.928005,0.91507,0.867596,0.865385,0.833333,0.860606,0.892216,0.87976,0.877224,0.878089,0.916824,0.922511,0.910095,0.879897,0.8601,0.815597,0.739234,0.764977,0.797386,0.789969,0.724138
0.5,0.620112,0.752542,0.771226,0.808511,0.770323,0.773196,0.827014,0.861232,0.875767,0.908405,0.912493,0.921053,0.918125,0.912921,0.920787,0.928531,0.924714,0.913684,0.916531,0.874162,0.858503,0.824313,0.772727,0.728745,0.751391,0.737705,0.774834,0.796875,0.680672
0.6,0.53125,0.69863,0.720524,0.758929,0.776549,0.776224,0.754584,0.749156,0.803526,0.827198,0.854442,0.854356,0.874871,0.875583,0.878694,0.877519,0.842412,0.850126,0.832308,0.807323,0.74044,0.698987,0.710669,0.70068,0.65812,0.614173,0.627907,0.6,0.514286
0.6,0.45283,0.591549,0.64486,0.648148,0.652174,0.666667,0.744186,0.71822,0.693396,0.683168,0.735123,0.781731,0.794737,0.797844,0.798387,0.795435,0.774379,0.737931,0.700699,0.684533,0.67623,0.668317,0.613208,0.590361,0.581152,0.573529,0.6,0.517241,0.428571
0.521739,0.387097,0.272727,0.42,0.48,0.521739,0.552,0.624277,0.608295,0.636691,0.694215,0.72335,0.73506,0.731286,0.716981,0.723173,0.75,0.745763,0.731544,0.708122,0.663366,0.560976,0.536842,0.514286,0.475248,0.455696,0.387097,0.266667,0.236842,0.181818
0.666667,0.461538,0.413793,0.28125,0.4375,0.396226,0.391304,0.38961,0.375,0.421053,0.4875,0.570136,0.635688,0.632653,0.674267,0.68932,0.674497,0.707143,0.654321,0.606936,0.564103,0.45,0.416667,0.491803,0.382979,0.416667,0.3,0.4,0.230769,0.272727
0.461538,0.3,0.26087,0.24,0.206897,0.096774,0.214286,0.2,0.277778,0.33871,0.308824,0.402439,0.428571,0.407767,0.46789,0.459459,0.432692,0.441176,0.375,0.352941,0.436364,0.352941,0.225,0.272727,0.24,0.375,0.36,0.375,0.285714,0.315789
0.272727,0.428571,0.352941,0.3,0.26087,0.25,0.24,0.115385,0.0,0.181818,0.153846,0.357143,0.533333,0.470588,0.470588,0.45283,0.48,0.545455,0.225,0.153846,0.1875,0.0,0.125,0.25,0.25,0.26087,0.315789,0.375,0.4,0.25
0.333333,0.461538,0.642857,0.5625,0.5,0.45,0.3,0.285714,0.3,0.3,0.130435,0.125,0.230769,0.222222,0.115385,0.115385,0.25,0.272727,0.272727,0.15,0.3,0.285714,0.26087,0.26087,0.315789,0.352941,0.352941,0.230769,0.0,0.333333
0.666667,0.545455,0.5,0.6,0.642857,0.6,0.4,0.352941,0.333333,0.352941,0.333333,0.285714,0.285714,0.285714,0.272727,0.272727,0.285714,0.3,0.285714,0.352941,0.333333,0.352941,0.352941,0.4,0.4,0.230769,0.25,0.3,0.3,0.3
1.0,0.666667,0.545455,0.5,0.545455,0.5,0.5,0.545455,0.461538,0.4,0.4,0.352941,0.375,0.352941,0.352941,0.375,0.4,0.428571,0.4,0.461538,0.461538,0.5,0.5,0.3,0.0,0.333333,0.3,0.333333,0.375,0.428571
1.2,1.0,0.857143,0.75,0.666667,0.666667,0.333333,0.0,0.0,0.214286,0.25,0.428571,0.428571,0.428571,0.428571,0.461538,0.545455,0.545455,0.545455,0.333333,0.3,0.0,0.0,0.375,0.428571,0.428571,0.5,0.6,0.75,0.75
