0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0
5.0,15.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,6.0,20.0,35.0,17.0,20.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,10.0,19.0
10.0,17.0,3.0,2.0,1.0,3.0,5.0,3.0,4.0,4.0,9.0,11.0,29.0,203.0,135.0,159.0,183.0,40.0,12.0,1.0,6.0,4.0,3.0,2.0,1.0,3.0,2.0,0.0,4.0,25.0
1.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,5.0,3.0,21.0,41.0,73.0,62.0,79.0,61.0,21.0,14.0,11.0,4.0,1.0,2.0,8.0,3.0,1.0,2.0,2.0,4.0,4.0
0.0,5.0,0.0,2.0,1.0,0.0,2.0,1.0,5.0,5.0,12.0,15.0,24.0,30.0,41.0,35.0,37.0,27.0,12.0,8.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0
1.0,4.0,0.0,1.0,1.0,0.0,4.0,5.0,7.0,5.0,5.0,8.0,15.0,15.0,22.0,23.0,13.0,14.0,5.0,2.0,6.0,5.0,2.0,5.0,0.0,1.0,1.0,0.0,3.0,2.0
2.0,3.0,0.0,1.0,2.0,1.0,5.0,1.0,4.0,3.0,5.0,10.0,14.0,3.0,8.0,12.0,10.0,9.0,4.0,3.0,1.0,4.0,2.0,5.0,1.0,1.0,0.0,0.0,5.0,8.0
0.0,10.0,1.0,0.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,6.0,5.0,7.0,5.0,10.0,4.0,9.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,4.0,2.0
0.0,12.0,3.0,0.0,0.0,1.0,3.0,1.0,2.0,4.0,4.0,4.0,3.0,4.0,8.0,6.0,3.0,4.0,5.0,3.0,3.0,2.0,5.0,5.0,3.0,0.0,0.0,2.0,7.0,1.0
0.0,7.0,10.0,1.0,2.0,1.0,0.0,5.0,5.0,2.0,1.0,4.0,2.0,1.0,2.0,3.0,2.0,2.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,11.0,7.0,0.0
0.0,2.0,10.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,2.0,0.0,2.0,1.0,3.0,2.0,4.0,1.0,0.0,6.0,16.0,2.0,1.0
0.0,4.0,6.0,11.0,6.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,8.0,6.0,4.0,1.0,1.0,0.0,3.0,2.0,2.0,2.0,0.0,7.0,22.0,8.0,1.0,0.0
0.0,1.0,3.0,8.0,12.0,2.0,1.0,0.0,5.0,2.0,0.0,1.0,0.0,4.0,9.0,1.0,5.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,3.0,11.0,11.0,7.0,2.0,1.0
0.0,0.0,3.0,3.0,13.0,17.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,13.0,15.0,6.0,6.0,1.0,0.0
0.0,0.0,1.0,1.0,5.0,12.0,11.0,8.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,5.0,9.0,7.0,3.0,4.0,3.0,0.0,0.0
