0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0
11.0,11.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,3.0,1.0,3.0,9.0,6.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,22.0
21.0,42.0,1.0,1.0,2.0,1.0,7.0,3.0,4.0,3.0,8.0,11.0,17.0,37.0,51.0,38.0,35.0,8.0,8.0,1.0,5.0,3.0,7.0,2.0,6.0,0.0,2.0,0.0,34.0,66.0
35.0,50.0,4.0,6.0,4.0,7.0,10.0,9.0,12.0,12.0,19.0,31.0,73.0,312.0,196.0,226.0,275.0,72.0,30.0,8.0,14.0,8.0,12.0,9.0,7.0,5.0,4.0,2.0,28.0,54.0
5.0,16.0,1.0,1.0,4.0,8.0,13.0,5.0,15.0,19.0,15.0,50.0,93.0,144.0,125.0,149.0,133.0,57.0,39.0,24.0,12.0,10.0,11.0,17.0,8.0,5.0,4.0,5.0,14.0,11.0
2.0,15.0,0.0,2.0,2.0,0.0,13.0,5.0,20.0,17.0,24.0,32.0,56.0,64.0,85.0,84.0,66.0,53.0,32.0,22.0,7.0,10.0,9.0,9.0,6.0,0.0,1.0,0.0,9.0,7.0
2.0,9.0,1.0,2.0,5.0,4.0,7.0,15.0,16.0,14.0,15.0,14.0,26.0,34.0,45.0,62.0,34.0,24.0,24.0,13.0,14.0,10.0,7.0,13.0,4.0,3.0,4.0,1.0,10.0,7.0
6.0,9.0,1.0,2.0,4.0,4.0,12.0,6.0,10.0,11.0,17.0,20.0,23.0,20.0,32.0,33.0,22.0,19.0,19.0,12.0,4.0,17.0,11.0,16.0,6.0,2.0,2.0,0.0,15.0,13.0
2.0,18.0,1.0,0.0,2.0,2.0,5.0,13.0,10.0,6.0,5.0,9.0,12.0,17.0,18.0,29.0,12.0,15.0,11.0,9.0,10.0,8.0,13.0,7.0,9.0,4.0,1.0,2.0,19.0,3.0
3.0,21.0,16.0,1.0,2.0,2.0,10.0,5.0,12.0,8.0,6.0,9.0,10.0,8.0,22.0,24.0,10.0,6.0,12.0,8.0,8.0,8.0,7.0,9.0,5.0,0.0,0.0,8.0,24.0,3.0
4.0,12.0,27.0,2.0,4.0,5.0,5.0,13.0,10.0,4.0,6.0,10.0,4.0,6.0,11.0,11.0,6.0,8.0,9.0,8.0,5.0,8.0,9.0,11.0,4.0,0.0,3.0,31.0,20.0,6.0
3.0,6.0,25.0,14.0,5.0,1.0,4.0,14.0,9.0,7.0,6.0,4.0,5.0,5.0,6.0,8.0,5.0,3.0,6.0,3.0,3.0,7.0,7.0,8.0,1.0,2.0,18.0,56.0,14.0,1.0
1.0,9.0,22.0,47.0,26.0,1.0,4.0,6.0,5.0,5.0,9.0,5.0,1.0,6.0,13.0,16.0,9.0,5.0,6.0,4.0,6.0,7.0,5.0,4.0,2.0,13.0,51.0,26.0,8.0,2.0
1.0,1.0,13.0,36.0,34.0,9.0,2.0,0.0,8.0,3.0,2.0,3.0,1.0,9.0,17.0,9.0,7.0,5.0,8.0,5.0,5.0,1.0,2.0,1.0,6.0,39.0,41.0,25.0,6.0,4.0
1.0,3.0,11.0,21.0,40.0,49.0,14.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,8.0,4.0,4.0,7.0,2.0,1.0,1.0,0.0,0.0,6.0,44.0,33.0,22.0,16.0,4.0,0.0
0.0,0.0,6.0,4.0,25.0,30.0,39.0,24.0,8.0,3.0,2.0,3.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,1.0,0.0,5.0,13.0,38.0,26.0,16.0,12.0,13.0,4.0,0.0
1.0,1.0,0.0,7.0,12.0,11.0,21.0,25.0,29.0,10.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,8.0,14.0,33.0,33.0,17.0,11.0,4.0,4.0,1.0,2.0
0.0,1.0,0.0,0.0,3.0,0.0,6.0,11.0,9.0,14.0,13.0,8.0,10.0,10.0,10.0,15.0,15.0,11.0,13.0,13.0,22.0,12.0,10.0,7.0,6.0,5.0,2.0,4.0,0.0,1.0
0.0,1.0,0.0,2.0,1.0,1.0,2.0,5.0,3.0,5.0,4.0,7.0,11.0,13.0,28.0,42.0,18.0,11.0,9.0,7.0,5.0,5.0,3.0,0.0,3.0,1.0,2.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,3.0,1.0,4.0,4.0,4.0,9.0,9.0,6.0,3.0,5.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
