0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6.0,12.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0
15.0,45.0,2.0,2.0,2.0,0.0,8.0,0.0,2.0,2.0,2.0,4.0,12.0,40.0,70.0,34.0,40.0,4.0,6.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,30.0,57.0
30.0,51.0,6.0,4.0,2.0,6.0,10.0,6.0,8.0,8.0,18.0,22.0,58.0,406.0,270.0,318.0,366.0,80.0,24.0,2.0,12.0,8.0,6.0,4.0,2.0,6.0,4.0,0.0,12.0,75.0
3.0,6.0,0.0,0.0,2.0,0.0,6.0,2.0,2.0,10.0,6.0,42.0,82.0,146.0,124.0,158.0,122.0,42.0,28.0,22.0,8.0,2.0,4.0,16.0,6.0,2.0,4.0,4.0,12.0,12.0
0.0,15.0,0.0,4.0,2.0,0.0,4.0,2.0,10.0,10.0,24.0,30.0,48.0,60.0,82.0,70.0,74.0,54.0,24.0,16.0,6.0,8.0,2.0,6.0,0.0,0.0,0.0,0.0,9.0,3.0
3.0,12.0,0.0,2.0,2.0,0.0,8.0,10.0,14.0,10.0,10.0,16.0,30.0,30.0,44.0,46.0,26.0,28.0,10.0,4.0,12.0,10.0,4.0,10.0,0.0,2.0,2.0,0.0,9.0,6.0
6.0,9.0,0.0,2.0,4.0,2.0,10.0,2.0,8.0,6.0,10.0,20.0,28.0,6.0,16.0,24.0,20.0,18.0,8.0,6.0,2.0,8.0,4.0,10.0,2.0,2.0,0.0,0.0,15.0,24.0
0.0,30.0,3.0,0.0,2.0,2.0,2.0,8.0,8.0,2.0,4.0,12.0,10.0,14.0,10.0,20.0,8.0,18.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,0.0,0.0,3.0,12.0,6.0
0.0,36.0,9.0,0.0,0.0,2.0,6.0,2.0,4.0,8.0,8.0,8.0,6.0,8.0,16.0,12.0,6.0,8.0,10.0,6.0,6.0,4.0,10.0,10.0,6.0,0.0,0.0,6.0,21.0,3.0
0.0,21.0,30.0,3.0,4.0,2.0,0.0,10.0,10.0,4.0,2.0,8.0,4.0,2.0,4.0,6.0,4.0,4.0,10.0,2.0,4.0,4.0,2.0,6.0,6.0,0.0,0.0,33.0,21.0,0.0
0.0,6.0,30.0,6.0,2.0,0.0,0.0,8.0,6.0,0.0,2.0,2.0,6.0,6.0,8.0,4.0,2.0,4.0,0.0,4.0,2.0,6.0,4.0,8.0,2.0,0.0,18.0,48.0,6.0,3.0
0.0,12.0,18.0,33.0,18.0,0.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,6.0,16.0,12.0,8.0,2.0,2.0,0.0,6.0,4.0,4.0,4.0,0.0,21.0,66.0,24.0,3.0,0.0
0.0,3.0,9.0,24.0,36.0,6.0,2.0,0.0,10.0,4.0,0.0,2.0,0.0,8.0,18.0,2.0,10.0,4.0,8.0,0.0,4.0,2.0,0.0,0.0,9.0,33.0,33.0,21.0,6.0,3.0
0.0,0.0,9.0,9.0,39.0,51.0,15.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,6.0,6.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,39.0,45.0,18.0,18.0,3.0,0.0
0.0,0.0,3.0,3.0,15.0,36.0,33.0,24.0,9.0,3.0,4.0,2.0,0.0,0.0,0.0,4.0,6.0,2.0,0.0,0.0,0.0,9.0,15.0,27.0,21.0,9.0,12.0,9.0,0.0,0.0
0.0,0.0,0.0,9.0,9.0,12.0,18.0,21.0,15.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,9.0,27.0,15.0,12.0,12.0,6.0,3.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,12.0,12.0,12.0,0.0,6.0,12.0,6.0,9.0,9.0,12.0,3.0,9.0,15.0,9.0,3.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,3.0,3.0,3.0,6.0,6.0,30.0,39.0,15.0,15.0,9.0,0.0,6.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
