player,team,ssce,prla,eppa,elpts,ppa,pts,fga,fg,f2,f2a,f3,f3a,f2p,f3p,fgp,efg,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
J. Ahanmisi,ADU,0.248,48.011,0.845,163.989,1.093,212,194,86,46,99,40,95,46.5,42.1,44.3,54.6,143,0.24720618556701,0.426747629403607,0.0676647417304138,0.179541443836596,1.17580440716635,1.08434515130854,0.0906774968871699,2.7262131626175,1.98,FALSE,175.703084257732,72,1,50.35,12.266
A. Tolentino,FEU,0.193,22.663,0.892,104.337,1.085,127,117,51,26,58,25,59,44.8,42.4,43.6,54.3,93,0.193529914529914,0.422371636781248,-0.0353118077214193,0.228841722251334,1.23355247645047,1.11065407596176,0.11516946263278,1.68039261541914,1.987,TRUE,116.970033820513,42,-9,45.161,7.155
A. Kouame,ADMU,0.154,20.271,1.066,140.729,1.22,161,132,80,79,121,1,11,65.3,9.1,60.6,61,51,0.154742424242424,0.312738443929515,-0.00325359544466616,0.15799601968709,0.31542970869146,0.561631292478847,0.0786441113425039,1.96762887393442,2.009,TRUE,16.9926915454545,29,7,56.863,4.94
B. Akhuetie,UP,0.114,20.151,1.084,191.849,1.198,212,177,106,106,174,,3,60.9,0,59.9,59.9,54,0.115553672316384,0.275916844864312,-0.0448095002315433,0.160363172547928,0.344067114589713,0.586572343867074,0.0798223855390381,1.44763491514384,2.009,TRUE,18.9566002372881,26,-2,48.148,4.429
Ju. Gomez de Liaño,UP,0.106,19.221,0.888,159.779,0.994,179,180,78,55,107,23,73,51.4,31.5,43.3,49.7,124,0.106888888888889,0.276129122840415,-0.0623513450626378,0.169240233951527,0.905938129198033,0.951807821568006,0.0854748656320842,1.2505300604856,1.98,TRUE,112.847118977778,52,-20,41.935,8.859
P. Orizu,FEU,0.35,17.866,1.101,56.134,1.451,74,51,37,37,51,,,72.5,0,72.5,72.5,28,0.351862745098039,0.623209767690437,0.0805157225056414,0.271347022592398,0.49152798336822,0.701090567165341,0.132493663375194,2.65569489237865,2.048,FALSE,16.7378625098039,16,4,57.143,2.726
A. Asistio,ADMU,0.194,17.26,0.907,80.74,1.101,98,89,35,7,27,28,62,25.9,45.2,39.3,55.1,71,0.193022471910112,0.463614497706488,-0.0775695538862633,0.270592025796376,1.30748895486501,1.14345483289241,0.135703122264983,1.42238784700328,1.994,TRUE,94.169521741573,29,-13,40.845,4.94
A. Melecio,DLSU,0.079,15.998,0.847,172.002,0.926,188,203,78,46,111,32,92,41.4,34.8,38.4,46.3,142,0.0780295566502463,0.244090693637024,-0.0880315803365309,0.166061136986777,0.998835520064903,0.999417590431999,0.0838692611044329,0.9303713377549,1.98,TRUE,141.700391192118,57,-28,40.141,9.71
J. Go,DLSU,0.377,13.97,0.92,34.03,1.297,48,37,17,3,9,14,28,33.3,50,45.9,64.9,34,0.379702702702703,0.821110686361864,-0.0617052809564587,0.441407983659162,1.6219096501317,1.27354216660922,0.218410679692806,1.73848047740501,2.021,TRUE,58.4249392972973,17,0,50,2.896
J. Lastimosa,ADU,0.173,13.965,0.889,72.035,1.062,86,81,37,25,42,12,39,59.5,30.8,45.7,53.1,68,0.171592592592593,0.431126207199934,-0.0879410220147489,0.259533614607341,1.14508085088958,1.07008450642442,0.129766807303671,1.3223149752852,2,TRUE,78.7226102222222,32,-4,47.059,5.451
