player,team,p-value,unpaired-t,dof,sp,se
J. Clemente,NU,0.8654718756542938,0.16958657972016553,251,0.9813163401424735,0.12432647759971688
I. Gaye,NU,0.4099959534283095,0.8256245536917239,201,0.9423458213246553,0.14426109965451336
A. Joson,NU,0.11361441071475989,1.5899774456392557,178,0.9790205901874389,0.17881012541021452
D. Ildefonso,NU,0.6552129976478677,0.44704347601668176,262,0.9464304445177837,0.11683328233672138
S. Ildefonso,NU,0.037880167460343506,2.09023272194781,197,0.9200391580318292,0.14426176788600023
D. Yu,NU,0.28018432381179464,1.0831642718906236,180,1.0174564904958767,0.18212827434270726
M. Aquino,NU,0.15421258305017385,1.4311862776182027,170,1.0028348502570106,0.20150639893908853
J. Gallego,NU,0.16686342850772368,1.3875047026027563,196,0.9713094227652916,0.15326818387144622
A. Diputado,NU,0.2550722141421686,1.1419254813470914,172,0.9655139603047508,0.188935697124729
T. Rike,NU,0.7036008704365557,0.3809907059457212,207,0.9586205909711318,0.1420817582495859
J. Sinclair,NU,0.928401871988582,-0.08998981404686002,169,0.984639148842954,0.2006466823685811
M. Lee,UST,0.696163735425773,0.3909423567794707,257,0.9775340376687425,0.12205193453334759
C. Cansino,UST,0.6307320398783843,0.48141925235829086,205,0.9852157082839874,0.14754199443063268
E. Caunan,UST,0.23262037805240945,1.1976923018011514,179,0.9781885367031853,0.1768419848774635
K. Zamora,UST,0.0055028108403800905,2.80717305010279,196,0.9713754366485915,0.153278600560265
J. Marcos,UST,0.33447708509863083,0.9677312268600928,180,0.9932061043011451,0.17778737030302874
R. Subido,UST,0.40084122605352446,0.8413831218933167,284,1.0202034996375309,0.12065474532752535
S. Akomo,UST,0.801889908739934,0.2513297889906473,156,0.9854767580332943,0.2598787481510645
Z. Huang,UST,0.22117056770936439,1.2270515420071526,211,0.9443409720281013,0.13726040878340295
I. Batalier,UST,0.12500201005343903,1.541761180858862,169,0.9885499525827978,0.20144361370806357
R. Escoto,FEU,0.07779748878633548,1.7722417961489945,211,0.9450796401306873,0.13736777454293203
A. Inigo,FEU,0.34167868891188413,0.9532802417533617,187,1.039589713329273,0.1749442909399344
K. Tuffin,FEU,0.44358943490934377,-0.7677834745363286,186,1.0147856951257228,0.17215917514422732
H. Cani,FEU,0.7407375789061359,0.33126758983237736,235,0.9930811283553336,0.1316294077314064
B. Ebona,FEU,0.6580357142670199,-0.44341552317080396,168,0.9665121966135024,0.19985205195251493
J. Parker,FEU,0.03868794292198791,2.0800127230443026,219,0.982936857664763,0.13796344785959277
A. Stockton,FEU,0.5893597859379173,0.5407555690226116,176,0.996171478781328,0.18588685596025814
A. Tolentino,FEU,0.4080973146888325,-0.8287441913355428,233,1.0447552153137583,0.1393679244901088
W. Comboy,FEU,0.49363342246274344,0.685630847571115,231,1.034461440898818,0.13890804508176874
P. Orizu,FEU,0.16859183461534813,-1.382700685747013,168,0.9577598611693968,0.19804227427561646
J. Baltazar,DLSU,0.7469596835191116,0.32303010887515504,235,0.9345960149837832,0.12387741183259121
A. Caracut,DLSU,0.29359039402765874,1.0526634690432246,232,0.972590228207689,0.13016665502702257
K. Montalbo,DLSU,0.08422953865637847,1.7357967945488484,189,0.9845995438921504,0.1631300997216246
L. Santillian,DLSU,0.5831523380706349,0.5495664164433848,229,0.9389010021596206,0.126936528537554
J. Go,DLSU,0.13673010967533158,-1.494983636109032,174,1.0568844551933276,0.201790266305266
F. Serrano,DLSU,0.24071498015637377,1.1766796899008978,201,0.9936782237361651,0.15211943430429492
M. Dyke,DLSU,0.5952009728136338,0.532267239526677,179,0.9813307378424286,0.17741004825737267
M. Nieto,ADMU,0.594786635972651,0.5327840058540884,196,1.015423959088091,0.16022925591095863
T. Ravena,ADMU,0.26985055627225357,1.1061081777162838,227,0.9553501397961344,0.1300698124897638
A. Asistio,ADMU,0.45174829439374187,-0.7539024243766732,211,1.0493962045715635,0.1525302367278395
A. Kouame,ADMU,0.604393042941108,-0.518954777333964,191,0.9055017808942982,0.1478218737792075
I. Go,ADMU,0.4308735680418877,0.7892882987625238,201,1.015143134863817,0.155405437821463
T. Tio,ADMU,0.48617416688268233,0.6977080737375749,199,1.010406485415257,0.1565034716737338
R. Verano,ADMU,0.7800587637938418,0.27958169039552955,222,1.0140173443488019,0.14064305592145357
A. Wong,ADMU,0.00578886782420005,2.79252477094259,182,0.9751875705693667,0.17128851782010046
