player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
J. Clemente,NU,0.1733583372416232,0.3467166744832464,0.9431777490567872,202,1.030138511116842,0.14481306426179952
I. Gaye,NU,0.07767841545724,0.15535683091448,1.4279528563755646,152,0.9971741802162333,0.16429524465708245
A. Joson,NU,0.025461259626068038,0.050922519252136075,1.970500506140379,129,1.0538254189374918,0.20289486000535636
D. Ildefonso,NU,0.10909453038126346,0.21818906076252692,1.2350054237820434,213,0.9866061548445807,0.1358130995216713
S. Ildefonso,NU,0.005822477335736235,0.01164495467147247,2.554477935127773,148,0.9705320838290104,0.1632588091312543
D. Yu,NU,0.06781505175976722,0.13563010351953445,1.5015106486048204,131,1.1016649693462248,0.20830701256724893
M. Aquino,NU,0.03998752917973838,0.07997505835947676,1.7656612321582676,121,1.0894544649517195,0.22874917540090572
J. Gallego,NU,0.031461408751675336,0.06292281750335067,1.8739448069905567,147,1.0353140457391798,0.17511758219159623
A. Diputado,NU,0.061331379485556295,0.12266275897111259,1.5543815381888186,123,1.039826358243905,0.21310780952046657
T. Rike,NU,0.1493566942344078,0.2987133884688156,1.0426278001426517,158,1.0153080877222853,0.16269678137680413
J. Sinclair,NU,0.33413630693436036,0.6682726138687207,0.42957851821878495,120,1.0665322636730508,0.22683676234148126
M. Lee,UST,0.12635274105697894,0.2527054821139579,1.146984977332731,208,1.0243037686271268,0.1422997092735952
C. Cansino,UST,0.13652119980127492,0.27304239960254983,1.0999638151453466,156,1.0489135644079512,0.1695782279031305
E. Caunan,UST,0.05270220869273661,0.10540441738547322,1.630556481047502,130,1.0522052779088724,0.20073063742776706
K. Zamora,UST,0.001101128238833343,0.002202256477666686,3.116399734371621,147,1.0353966223306048,0.17513154956033375
J. Marcos,UST,0.07896643345712057,0.15793286691424113,1.4201730908030081,131,1.0708259112403988,0.20247584588485484
R. Subido,UST,0.0640643350056673,0.1281286700113346,1.5269079760029527,235,1.068390180569612,0.14212855495239413
S. Akomo,UST,0.2682194493868113,0.5364388987736226,0.6202089594259713,107,1.0771747063742234,0.29153985292792456
Z. Huang,UST,0.036215229967977706,0.07243045993595541,1.8081977524685686,162,0.9963407505654549,0.15702151700291436
I. Batalier,UST,0.031999662674377274,0.06399932534875455,1.8694384384491962,120,1.071615058308746,0.22791780294201316
R. Escoto,FEU,0.011838135103474302,0.023676270206948603,2.2838976311999497,162,0.9972525700435966,0.15716521811883213
A. Inigo,FEU,0.08164032375114023,0.16328064750228047,1.4015972053653478,138,1.125304035823205,0.20139259179436003
K. Tuffin,FEU,0.46637934581172164,0.9327586916234433,-0.08452969537579837,137,1.0947517827263507,0.19733434163836822
H. Cani,FEU,0.1497453165008176,0.2994906330016352,1.0404301420238036,186,1.048322775813297,0.15292224638977672
B. Ebona,FEU,0.45253741635412065,0.9050748327082413,0.1195074831069326,119,1.0435376093222837,0.22494704940217783
J. Parker,FEU,0.006213742566835882,0.012427485133671763,2.5266859032834397,170,1.0410433826989856,0.15928615591659967
A. Stockton,FEU,0.15439955601807454,0.30879911203614907,1.0218401209392252,127,1.076981637260277,0.2114026509839202
W. Comboy,FEU,0.0975545259350175,0.195109051870035,1.3003974508311775,182,1.0990668836937663,0.1620581449377872
P. Orizu,FEU,0.23902805900637492,0.47805611801274983,-0.7116794562090805,119,1.0320823504062266,0.2224777309317314
