player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
J. Clemente,UE,6.272204517367878e-144,1.2544409034735756e-143,71.712934844704,198,0.8687627517052322,0.14283336781825276
I. Gaye,DLSU,3.926776637364499e-140,7.853553274728998e-140,-72.45208903813098,189,1.0434869540828415,0.17288666436391728
A. Joson,UST,4.010401117717659e-106,8.020802235435318e-106,46.32903122444257,191,1.0725401274280832,0.17738337674680954
D. Ildefonso,NU,5.855583021150001e-18,1.1711166042300001e-17,-9.588337591820016,169,0.9693689961458722,0.16394917105767126
S. Ildefonso,ADU,2.3168064966947403e-239,4.633612993389481e-239,-243.5341937926131,190,1.1048312729003475,0.18288602231326975
D. Yu,UP,8.721966769085213e-148,1.7443933538170426e-147,-91.89667577938789,171,1.0156381653359485,0.17137725457891315
M. Aquino,UP,4.781784942109963e-100,9.563569884219925e-100,-93.1446185492371,101,0.9075875876536973,0.17906563212971158
J. Gallego,UST,1.1923949802349933e-21,2.3847899604699866e-21,-10.970719556534887,164,1.0172478443982937,0.17309712368582336
A. Diputado,UP,1.3978823742216028e-43,2.7957647484432055e-43,-19.340267778864103,156,1.0341384961718865,0.17786723737917345
T. Rike,ADU,0.28728549495519373,0.5745709899103875,-0.5624595191781081,164,0.9821402490318685,0.16712313827910222
J. Sinclair,NU,6.492759992332377e-74,1.2985519984664754e-73,-33.4634607311569,158,1.0244859605460683,0.1757140436621158
M. Lee,DLSU,7.782063952982994e-26,1.5564127905965988e-25,-12.841697024876215,142,0.9545637411142367,0.16789058298319273
C. Cansino,ADU,2.795566830515833e-143,5.591133661031666e-143,160.9180322110508,121,0.8940325620195446,0.16466147165687478
E. Caunan,DLSU,3.714347474041278e-24,7.428694948082555e-24,12.30580786379887,136,0.9625158852327962,0.17121996567152298
K. Zamora,ADMU,1.6892181723784433e-108,3.3784363447568866e-108,70.99812349006926,134,0.9898944075087472,0.1768074898733884
J. Marcos,UE,1.2112756593858407e-156,2.4225513187716813e-156,149.58544825208017,140,1.0125551128592334,0.17874064832123931
R. Subido,ADMU,1.7421520792713063e-97,3.4843041585426126e-97,-92.52497620804161,98,0.9076273538394614,0.18156178675720588
S. Akomo,DLSU,3.5587911817008714e-102,7.117582363401743e-102,60.64140593709967,139,1.0163414398882482,0.17974517298141193
Z. Huang,FEU,0.00018249957807154018,0.00036499915614308036,-3.652061676514503,142,1.0477449046948997,0.18427947269562686
I. Batalier,FEU,1.3830029859343774e-58,2.766005971868755e-58,27.731612488148304,138,1.1142014491064798,0.19742811574119096
R. Escoto,FEU,3.974373989036974e-130,7.948747978073947e-130,-96.2948225969367,140,1.1289897788850165,0.19929420380499768
A. Inigo,UST,8.088807925748074e-25,1.6177615851496148e-24,13.178782775778402,112,1.048413431785969,0.1983491225611771
K. Tuffin,UE,5.94027681261593e-81,1.188055362523186e-80,40.79239868100088,143,1.0777833069632363,0.18922643064858882
H. Cani,UST,2.254042165488484e-98,4.508084330976968e-98,70.17628470064311,118,0.975502589408856,0.1811723156082597
B. Ebona,UP,1.0625185002636468e-105,2.1250370005272937e-105,92.47672861962411,109,0.9572512954063975,0.18297576322795298
J. Parker,ADMU,0.023941484589463057,0.047882969178926114,-1.9974241908532524,129,1.0868887162795748,0.19625275482047044
A. Stockton,FEU,3.922138869326927e-133,7.844277738653853e-133,122.381663818933,126,1.0378319069071082,0.18872108189484302
A. Tolentino,UP,3.901214332847043e-48,7.802428665694086e-48,-24.592246159664153,116,1.0748168592226939,0.20079499724995584
W. Comboy,FEU,7.123226268181224e-118,1.4246452536362447e-117,103.31860620643101,118,0.9767808975698018,0.18140972558758106
P. Orizu,NU,7.629009949894341e-117,1.5258019899788682e-116,128.86762726421335,104,0.9347915597495228,0.18210935126386923
J. Baltazar,ADMU,3.900401652674458e-94,7.800803305348916e-94,-64.4679748866407,118,1.1515792690499567,0.21387363298202813
A. Caracut,DLSU,5.0708223707596076e-86,1.0141644741519215e-85,61.271480405352165,108,1.065409639663013,0.20438546477336453
K. Montalbo,NU,7.927260098770878e-12,1.5854520197541756e-11,7.489712593947631,114,1.00152179952787,0.18825822517400848
