player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
J. Clemente,NU,0.18437937112870373,0.36875874225740746,0.9083454327962366,43,0.7273525188181356,0.21820575564544067
I. Gaye,NU,0.22171746868731718,0.44343493737463435,0.7751876661290269,35,0.7588967426677663,0.2503479804261554
A. Joson,NU,0.27092960693573376,0.5418592138714675,0.6166024567556214,32,0.81889221424126,0.28535611579798986
D. Ildefonso,NU,0.365182834227059,0.730365668454118,-0.3468903680117578,43,0.7057799968086291,0.21173399904258874
S. Ildefonso,NU,0.14173099969011646,0.2834619993802329,1.0861549800540606,43,0.6845230173820886,0.2053569052146266
D. Yu,NU,,,,18,,
M. Aquino,NU,0.16590834259593945,0.3318166851918789,0.9904893387518465,24,0.8320662381633794,0.3873057560676416
J. Gallego,NU,0.16582264642324318,0.33164529284648636,0.9900304012631814,25,0.7779470003369979,0.34163934047053596
A. Diputado,NU,0.35885031760788383,0.7177006352157677,-0.3649613340988321,30,0.7846746560592145,0.28652267295082634
T. Rike,NU,0.4450914175941658,0.8901828351883316,-0.1390535343641973,36,0.7932383896335985,0.2577177150055376
J. Sinclair,NU,0.25813367212281757,0.5162673442456351,-0.6571485686259931,29,0.7783209689159956,0.2921650331442858
M. Lee,UST,0.09998075844230889,0.19996151688461777,1.3126424548718483,28,0.8120548742736514,0.314507500426841
C. Cansino,UST,0.14731241846357493,0.29462483692714986,1.062319379634975,39,0.749185824542077,0.2340759715271868
E. Caunan,UST,0.09167999041906263,0.18335998083812527,1.3599205800287426,32,0.824736905441273,0.2873927921149331
K. Zamora,UST,0.042114246332115565,0.08422849266423113,1.8084386158454269,22,0.7701153394856585,0.42180954331704407
J. Marcos,UST,0.33399567396062513,0.6679913479212503,0.4326635789521444,34,0.8324557848513091,0.27921415847857
R. Subido,UST,0.024554807432024785,0.04910961486404957,2.0385096606129336,35,0.7794790153552491,0.2571377452389259
S. Akomo,UST,0.34235437083616127,0.6847087416723225,0.4100143563832543,30,0.816155960523568,0.298018020014036
Z. Huang,UST,0.0748787838657909,0.1497575677315818,1.4727408349973565,35,0.7393670809123819,0.24390545523929105
I. Batalier,UST,0.3039979402841745,0.607995880568349,0.5187719728434005,28,0.8563959624171779,0.3316807300201003
R. Escoto,FEU,0.34140810142564154,0.6828162028512831,0.4115453676303091,41,0.8053882199644117,0.24624112409018079
A. Inigo,FEU,0.0010122823534609074,0.002024564706921815,3.4034243208184742,28,0.7361691006134642,0.28511706666684394
K. Tuffin,FEU,0.3717239299382191,0.7434478598764382,-0.3305464277567852,28,0.8203140152593714,0.31770625197600827
H. Cani,FEU,0.40600874291349043,0.8120174858269809,-0.2396799466413435,34,0.7948775030407351,0.26661001958765695
B. Ebona,FEU,0.3673060714643639,0.7346121429287278,0.34149512273425975,38,0.7649314269758841,0.24189255630865583
J. Parker,FEU,0.15583202966212736,0.3116640593242547,1.0257608492801351,37,0.8029870197526534,0.2572462367468523
A. Stockton,FEU,0.12436701602954757,0.24873403205909514,1.1735422265765196,34,0.7865960601950087,0.2638323392144334
A. Tolentino,FEU,0.3015512940661744,0.6031025881323488,-0.52443709330607,37,0.8454090961113594,0.27083664260624746
W. Comboy,FEU,0.014957842417244132,0.029915684834488265,2.269259417617786,33,0.7807856266615995,0.26668906250567737
P. Orizu,FEU,0.02697572411078512,0.05395144822157024,-1.987239716811167,39,0.7006049930800736,0.21889735368692317
J. Baltazar,DLSU,0.44883026411375804,0.8976605282275161,0.1293298217193167,46,0.7372717975916129,0.21585108031576536
A. Caracut,DLSU,0.15267182318691994,0.30534364637383987,1.0412165298157328,33,0.7256337321214686,0.24785110423894016
K. Montalbo,DLSU,0.13590294588641302,0.27180589177282605,1.1195104618575238,30,0.7935664904813047,0.2897695118112128
L. Santillian,DLSU,0.22898652628143068,0.45797305256286136,0.7487817612796738,44,0.69020825162454,0.20528508230154832
A. Melecio,DLSU,0.2803460335792027,0.5606920671584054,0.5868415617446406,39,0.7347510056765775,0.22956594992897245
J. Go,DLSU,0.10638895471952951,0.21277790943905903,1.283192807998056,22,0.8395538112713216,0.45984256067273777
F. Serrano,DLSU,0.0649431659090597,0.1298863318181194,1.550011419125857,36,0.7761067175439733,0.2521517521841949
M. Dyke,DLSU,0.32101151744667444,0.6420230348933489,0.46893637429423973,35,0.7997013154987092,0.2638087608275422
M. Nieto,ADMU,0.35705778357259654,0.7141155671451931,0.3697055715691299,31,0.7454281854890735,0.2655682219376362
T. Ravena,ADMU,0.24611381604586224,0.4922276320917245,0.6928332876212676,42,0.7055593653510418,0.21361870623418833
A. Asistio,ADMU,0.06981577249379611,0.13963154498759223,1.5220175050544948,27,0.833282510953057,0.3344683388831588
A. Kouame,ADMU,0.24401126581934313,0.48802253163868625,-0.6993364258267472,44,0.6169593594538507,0.18349904189654753
I. Go,ADMU,0.3068315622413348,0.6136631244826696,-0.5096863596302779,33,0.793914136805441,0.27117330240815557
T. Tio,ADMU,0.02635455458060612,0.05270910916121224,-2.047731923496785,22,0.764332293276592,0.4186420384572436
R. Verano,ADMU,0.34205951603581436,0.6841190320716287,0.4100704833886437,37,0.8161849856037913,0.2614743587020048
A. Wong,ADMU,0.18614170442132483,0.37228340884264965,0.9099564186000964,23,0.7866834107823538,0.3933417053911769
J. Mendoza,ADMU,0.43019572006003215,0.8603914401200643,-0.17777525636107758,24,0.8370606453979746,0.38963052611764903
W. Navarro,ADMU,0.4149823916931608,0.8299647833863216,-0.21656688573202637,31,0.7767943988209378,0.27674283226981
P. Sarr,ADU,0.040778963409804574,0.08155792681960915,1.78163588238658,45,0.6766579466920368,0.19962789880828427
V. Magbuhos,ADU,0.2992242700888054,0.5984485401776108,-0.531929825475717,32,0.7767089991156727,0.27065669845005275
S. Manganti,ADU,0.36205311516755495,0.7241062303351099,-0.35540764680398773,41,0.7299830783348504,0.22318659414204856
C. Catapusan,ADU,0.07449846299332724,0.14899692598665448,1.4746578320366184,36,0.8468824849811815,0.2751463138444114
J. Espeleta,ADU,0.026634556167767363,0.053269112335534725,2.0149044518735524,29,0.7671472130899805,0.2879706443617241
J. Lastimosa,ADU,0.33087536199018364,0.6617507239803673,-0.44103971855503726,37,0.846996992925325,0.2713453438301611
J. Pingoy,ADU,0.013793861413703966,0.027587722827407932,2.367503914173239,21,0.7861840906165833,0.4867573789851291
E. Mojica,ADU,0.38390004418068324,0.7678000883613665,0.29892852323067604,22,0.8936466149853348,0.48947040946560205
S. Camacho,ADU,0.44073625552519763,0.8814725110503953,0.150012934328089,42,0.8147627629250007,0.24668167676753294
G. Mahinay,UST,0.043619969969010734,0.08723993993802147,1.759454796009031,35,0.7529184562333752,0.24837583869578286
L. Gonzales,FEU,0.10169940780392456,0.20339881560784911,1.3013030524808649,29,0.8730460195987177,0.3277227897480382
