player,team,p-value 1t,p-value 2t,unpaired-t,dof,sp,se
J. Clemente,NU,0.14163764086322808,0.28327528172645616,1.0779460162178007,117,1.1921947684616399,0.21951648209424715
I. Gaye,NU,,,,63,,
A. Joson,NU,0.04785323762936833,0.09570647525873666,1.688167028046843,72,1.2626391479534125,0.4490732408006943
D. Ildefonso,NU,0.014043622187458523,0.028087244374917046,2.222140809166487,124,1.1723642270875199,0.20899035075517014
S. Ildefonso,NU,0.04249507535620012,0.08499015071240024,1.746836415322358,71,1.2517283669695005,0.4689967710266033
D. Yu,NU,0.026311379835613623,0.052622759671227246,1.9630952326176412,93,1.2319003035344696,0.2719067939811788
M. Aquino,NU,0.07299270602627518,0.14598541205255036,1.4695314401395003,73,1.2705176047580269,0.4315733716031743
J. Gallego,NU,0.14094989753557602,0.28189979507115204,1.0836540854175605,77,1.2623183852900741,0.37193046845377997
A. Diputado,NU,0.02306831808771942,0.04613663617543884,2.029190971987335,72,1.231955323031042,0.4381601586897962
T. Rike,NU,0.008910381177229788,0.017820762354459577,2.4234074728413026,74,1.223476254214724,0.3988864833029343
J. Sinclair,NU,0.10715788910802451,0.21431577821604902,1.2535020468413771,68,1.270163218622416,0.5894770097582273
M. Lee,UST,0.033007440203339844,0.06601488040667969,1.8520223200643249,148,1.1080500613377908,0.1825739747252791
C. Cansino,UST,0.22656015847289157,0.45312031694578314,0.7533872476216611,93,1.2757463719819757,0.28158456081509786
E. Caunan,UST,,,,63,,
K. Zamora,UST,0.0006383334596031762,0.0012766669192063524,3.3056660190830023,111,1.1410038284336868,0.21714459632464428
J. Marcos,UST,0.20670869681957105,0.4134173936391421,0.8224083246085017,76,1.2728807721214537,0.386728940259375
R. Subido,UST,0.0736977749792003,0.1473955499584006,1.4563149344729263,150,1.1872351770769576,0.19464454877712592
S. Akomo,UST,,,,63,,
Z. Huang,UST,0.013558798057951347,0.027117596115902694,2.255223557385468,73,1.2242808906705305,0.41586754075449966
I. Batalier,UST,0.08048529638721526,0.16097059277443052,1.4161976275389165,73,1.2560026384668506,0.42664288270830975
R. Escoto,FEU,0.0007591868835709562,0.0015183737671419124,3.281408771517912,82,1.1602872879872037,0.30260193332711466
A. Inigo,FEU,0.14089886925142925,0.2817977385028585,1.0828552169487093,89,1.2706915685419686,0.2948611072841107
K. Tuffin,FEU,0.266854124975893,0.533708249951786,0.6246107748796003,96,1.22579098880225,0.26200876133184753
H. Cani,FEU,0.03193875146080805,0.0638775029216161,1.8740131577458912,99,1.230813994068938,0.2557085111743524
B. Ebona,FEU,,,,63,,
J. Parker,FEU,0.026634637502567112,0.053269275005134224,1.958780667544688,89,1.2720315627429584,0.2951720499106613
A. Stockton,FEU,0.24770425360090742,0.49540850720181484,0.6852149044647209,72,1.290537451197957,0.458995617650149
A. Tolentino,FEU,0.47223359212283855,0.9444671842456771,0.06981276437781292,112,1.2808596263988712,0.24232557054087647
W. Comboy,FEU,0.1037657676619292,0.2075315353238584,1.268052253647286,107,1.2737537902285865,0.24866560681431224
P. Orizu,FEU,,,,63,,
J. Baltazar,DLSU,0.0028236203829742528,0.0056472407659485056,2.843435783092785,81,1.2070714495356176,0.32149860522031776
A. Caracut,DLSU,0.05051383871636946,0.10102767743273892,1.6554725395053114,98,1.247275269753665,0.2614999505002015
K. Montalbo,DLSU,0.004379911093352295,0.00875982218670459,2.6833131471842475,85,1.2170497020414899,0.30019255827190366
L. Santillian,DLSU,0.07778183565389567,0.15556367130779133,1.4327176338116145,86,1.2526727733261471,0.3039193683541459
A. Melecio,DLSU,0.1664490201579299,0.3328980403158598,0.9720002906655557,127,1.2369196108099074,0.21781594313313854
J. Go,DLSU,0.2948966338970348,0.5897932677940696,-0.5411183051553321,88,1.2857789022413322,0.3025943867397444
F. Serrano,DLSU,0.08364770679681138,0.16729541359362277,1.3928571936375225,85,1.2722275296200884,0.31380249810667044
M. Dyke,DLSU,0.4787274959979657,0.9574549919959314,0.05354460165830758,68,1.2841402533121333,0.5959636883939994
M. Nieto,ADMU,0.2109354251116073,0.4218708502232146,0.8067465637716068,93,1.300664127943352,0.28708444349003837
T. Ravena,ADMU,0.05587341632716099,0.11174683265432198,1.6049907375486332,97,1.2399595969488637,0.262439374946663
A. Asistio,ADMU,0.42796963042087494,0.8559392608417499,-0.1819724559486542,110,1.2361349351302118,0.2366842093705139
A. Kouame,ADMU,0.013601132762196311,0.027202265524392623,2.2539384310318034,73,1.2267600144644097,0.416709657235483
I. Go,ADMU,0.023962225200315997,0.04792445040063199,2.0031347865565774,98,1.2714750573787412,0.2665736045840531
T. Tio,ADMU,0.006944560934657246,0.013889121869314493,2.5051415131408383,98,1.2154563430889154,0.2548288908315167
R. Verano,ADMU,0.16762318936127035,0.3352463787225407,0.9689083995454068,88,1.3056208020603794,0.30726396678731716
A. Wong,ADMU,0.0005892663855138064,0.0011785327710276128,3.348568550970707,92,1.1746751535409805,0.2623167556307724
J. Mendoza,ADMU,0.20483342457698045,0.4096668491539609,0.8280642546463298,97,1.2671702744871622,0.2681985571188872
W. Navarro,ADMU,0.00010297691364889176,0.0002059538272977835,3.88143896011943,84,1.140789200959519,0.28634414102195255
P. Sarr,ADU,0.12690884498618762,0.25381768997237525,1.1513210197101735,65,1.2576702254076806,0.9028851384642942
V. Magbuhos,ADU,,,,64,,
S. Manganti,ADU,0.004419547788472856,0.008839095576945712,2.6653152298447007,111,1.1681748648199297,0.2223155200155071
C. Catapusan,ADU,0.06432432525469862,0.12864865050939725,1.537891244362531,69,1.2679624259051703,0.5410074615794747
J. Espeleta,ADU,0.016443274894444554,0.03288654978888911,2.16886042506797,85,1.2446797451941953,0.3070076729917551
J. Lastimosa,ADU,0.11210467010227085,0.2242093402045417,1.2232217364853726,97,1.249870934674637,0.2645371249733878
J. Pingoy,ADU,0.082995147307764,0.165990294615528,1.396279423389265,92,1.2387962052227695,0.27663563025248983
E. Mojica,ADU,0.004770453729719161,0.009540907459438322,2.6521600779218426,85,1.2200335079873128,0.30092853178125256
S. Camacho,ADU,0.053391926370989766,0.10678385274197953,1.6354728041241722,65,1.258408272577859,0.9034149846894631
G. Mahinay,UST,,,,63,,
L. Gonzales,FEU,0.4654708742441684,0.9309417484883368,0.0869637267417675,72,1.3000644942442354,0.46238402842687376
D. Murrell,UP,0.056706634219437085,0.11341326843887417,1.6046762960863452,65,1.2582537822285258,0.9033040756151834
B. Akhuetie,UP,0.054304335493420446,0.10860867098684089,1.6265013297826565,66,1.2481623850179988,0.737069161690389
Ju. Gomez de Liaño,UP,0.08601515962159699,0.17203031924319398,1.3741224930788554,117,1.2365913091468974,0.2276911299673941
P. Desiderio,UP,0.07102120775314351,0.14204241550628702,1.4781959184012583,117,1.2238830619240544,0.225351185356211
J. Manzo,UP,0.016099523388836755,0.03219904677767351,2.1781338945044983,84,1.2122833121279435,0.3042895421823348
C. Vito,UP,0.037626106168122536,0.07525221233624507,1.8036301332463147,76,1.2263975109385734,0.3726063117062745
D. Dario,UP,0.2528012108670354,0.5056024217340708,-0.6686775548734425,81,1.307635762382551,0.3482835037676798
Ja. Gomez de Liaño,UP,0.3655261281211166,0.7310522562422332,0.34479591120434794,90,1.3073955535168442,0.2993383475383016
F. Jaboneta,UP,0.032761365306815816,0.06552273061363163,1.8686661666833442,76,1.2615669712331976,0.3832915607941101
S. Belangel,ADMU,0.04225838356766575,0.0845167671353315,1.747039464354938,79,1.2365214197965002,0.34508611376624276
J. Nieto,ADMU,0.04268683063885371,0.08537366127770742,1.74187591316451,80,1.2285275336943624,0.33466529762588904
G. Mamuyac,ADMU,0.1667410025259612,0.3334820050519224,0.9735763915995606,73,1.283369094146117,0.4359388054897806
B. Bienes,FEU,0.39307517085289395,0.7861503417057879,0.2721146115377761,91,1.230218245291743,0.27809164687038274
J. Manuel,DLSU,0.12719522635931932,0.25439045271863864,1.1481037641279257,79,1.2726598222704681,0.3551715523747501
J. Cullar,UE,0.12899368486884163,0.25798736973768327,1.1399405367024695,74,1.262635960716753,0.4116536110342323
M. Maloles,UE,0.011342771926299138,0.022685543852598276,2.3209265401273673,85,1.2518213936463347,0.3087692031211575
C. Conner,UE,0.26163860216921586,0.5232772043384317,0.6410177477484352,83,1.2287134323505537,0.31418713115849595
A. Pasaol,UE,0.0022986281859385667,0.004597256371877133,2.8832312785106877,132,1.124813807597381,0.19442486871092343
