player,team,fga,fga_cells,w_ssce,upper,lower,ci95,w_var,stdev,sterr,tstat,tval,ftr,wss,erange,nerange,perange,terange
J. Clemente,NU,43.0,25,-0.09713953488372092,0.16600680590369687,-0.3602858756711387,0.2631463407874178,0.4127383033621777,0.6424471210630317,0.12848942421260634,-0.7560119089878401,2.048,True,10.141621511627907,11,-3,44.0,22.917
I. Gaye,NU,30.0,17,-0.093,0.24283903578073426,-0.42883903578073423,0.33583903578073426,0.4571422541666666,0.6761229578757599,0.16398390418981165,-0.5671288316952885,2.048,True,7.461309066666666,7,-3,41.176,14.583
A. Joson,NU,26.0,14,-0.0748846153846154,0.37070777323329795,-0.5204770040025287,0.44559238861791334,0.662740725307237,0.8140888927551075,0.2175744085048405,-0.34417933570045484,2.048,True,8.694137307692307,9,4,64.286,18.75
D. Ildefonso,NU,66.0,25,0.1745151515151515,0.419367792924495,-0.07033748989419195,0.24485264140934346,0.35734663012702783,0.5977847690657799,0.11955695381315598,1.459682151051493,2.048,True,9.337707575757575,15,5,60.0,31.25
S. Ildefonso,NU,58.0,25,-0.12198275862068965,0.10400227137624578,-0.34796778861762506,0.22598502999693543,0.3043963538570154,0.5517212646409556,0.11034425292819112,-1.1054745071324423,2.048,True,7.6775073275862065,6,-13,24.0,12.5
D. Yu,NU,0.0,0,,,,,,,,,2.048,False,,0,0,,0.0
M. Aquino,NU,9.0,6,-0.28255555555555556,0.4437339071604788,-1.00884501827159,0.7262894627160343,0.7545896296296296,0.868671186139859,0.35463352671681364,-0.7967536464232422,2.048,True,4.251974,2,-2,33.333,4.167
J. Gallego,NU,12.0,7,-0.23716666666666666,0.24073118628395587,-0.7150645196172892,0.47789785295062254,0.3811608564814815,0.6173822612300109,0.23334856101104615,-1.0163622421285887,2.048,True,2.6807013333333334,2,-3,28.571,4.167
A. Diputado,NU,22.0,12,0.20563636363636364,0.6285325563469887,-0.21725982907426136,0.422896192710625,0.5116687483095417,0.7153102461935952,0.20649228159698485,0.9958549639046959,2.048,True,6.1357919999999995,8,4,66.667,16.667
T. Rike,NU,31.0,18,0.13690322580645164,0.5035804257762071,-0.22977397416330386,0.3666771999697555,0.577006111525984,0.7596091834134077,0.1790416015477322,0.7646447787720078,2.048,True,10.146468774193549,10,2,55.556,20.833
J. Sinclair,NU,16.0,11,0.2930625,0.7175045380763432,-0.13137953807634317,0.4244420380763432,0.47246491445312494,0.6873608327895363,0.20724708890446444,1.4140729384869393,2.048,True,5.6693910625,8,5,72.727,16.667
M. Lee,UST,13.0,10,-0.31176923076923074,0.20005115465120532,-0.8235896161896668,0.5118203854204361,0.6245615647600263,0.7902920756024486,0.2499122975685723,-1.247514563318701,2.048,True,6.593054615384616,3,-4,30.0,6.25
C. Cansino,UST,62.0,21,-0.14759677419354839,0.15297857622617594,-0.4481721246132727,0.30057535041972433,0.45234116718262224,0.6725631324884098,0.146765307822131,-1.0056652786939613,2.048,True,9.504304306451612,7,-7,33.333,14.583
E. Caunan,UST,17.0,14,-0.2897647058823529,0.16370744335844312,-0.743236855123149,0.45347214924079604,0.6863875059888209,0.8284850668472069,0.22142194787148245,-1.3086539463131177,2.048,True,10.098527764705883,5,-4,35.714,10.417
K. Zamora,UST,8.0,4,-0.6617500000000001,-0.3943083629923471,-0.929191637007653,0.26744163700765294,0.06821158333333321,0.2611734736402861,0.13058673682014305,-5.067513103657897,2.048,True,1.9562869999999999,0,-4,0.0,0.0
J. Marcos,UST,23.0,16,-0.019739130434782627,0.41306163602105517,-0.45253989689062046,0.4328007664558378,0.7145557534971644,0.8453139969840582,0.21132849924601455,-0.0934049619677829,2.048,True,10.724570434782608,8,0,50.0,16.667
R. Subido,UST,27.0,17,-0.4231111111111111,-0.06272689228725087,-0.7834953299349714,0.36038421882386024,0.5264056558641976,0.7255381836017989,0.175968856847588,-2.4044658736266076,2.048,True,11.465881703703705,3,-11,17.647,6.25
S. Akomo,UST,24.0,12,-0.02112500000000005,0.4551957402850488,-0.4974457402850489,0.47632074028504884,0.6491130284090908,0.8056755106176995,0.232578486467309,-0.09082955315804482,2.048,True,7.145598499999999,6,0,50.0,12.5
Z. Huang,UST,35.0,17,-0.2581428571428572,0.05329843569592796,-0.5695841499816423,0.31144129283878513,0.3931347229591837,0.6270045637466953,0.15207094376893804,-1.6975159800092288,2.048,True,7.422997057142858,7,-3,41.176,14.583
I. Batalier,UST,12.0,10,-0.07099999999999997,0.5277465370447758,-0.6697465370447757,0.5987465370447758,0.8547244444444444,0.924513085058532,0.2923567075413944,-0.2428540141838448,2.048,True,7.74293,5,0,50.0,10.417
R. Escoto,FEU,44.0,23,-0.00027272727272728304,0.3373495245761506,-0.3378949791216051,0.33762225184887784,0.6250720152141246,0.79061496015072,0.1648546151605849,-0.001654350243465246,2.048,True,13.751586045454543,13,3,56.522,27.083
A. Inigo,FEU,13.0,10,-0.8693076923076922,-0.5396860523141513,-1.198929332301233,0.3296216399935409,0.25904280078895453,0.5089624748338079,0.16094806640309614,-5.401168909544411,2.048,True,9.888343846153845,1,-8,10.0,2.083
K. Tuffin,FEU,12.0,10,0.20608333333333337,0.7348107202695455,-0.32264405360287873,0.5287273869362121,0.6665054552469135,0.8163978535290949,0.25816766940244734,0.7982538394924975,2.048,True,6.4232525,6,2,60.0,12.5
H. Cani,FEU,31.0,16,0.16496774193548389,0.5535294203791388,-0.22359393650817103,0.3885616784436549,0.5759436720083247,0.7589095282102635,0.18972738205256587,0.8694988575227266,2.048,True,9.07458477419355,9,2,56.25,18.75
B. Ebona,FEU,39.0,20,0.01846153846153846,0.34042412408863076,-0.3035010471655538,0.3219625856270923,0.49428895255891203,0.703056862962671,0.15720829376322865,0.11743361637995624,2.048,True,9.398306666666667,9,-2,45.0,18.75
J. Parker,FEU,31.0,19,-0.16280645161290325,0.20472218131798692,-0.5303350845437934,0.36752863293089016,0.6118938027517633,0.7822364110368191,0.17945734029828622,-0.9072153378752489,2.048,True,11.517701322580647,9,-1,47.368,18.75
