y,x,opp_fga,opp_fg,opp_pts,opp_ssce,opp_prla,dist
-12.5,-72.5,1.0,0.0,0.0,-0.886,-0.886,7.65
-12.5,-67.5,0.0,0.0,0.0,-0.887,0.0,7.16
-12.5,-62.5,0.0,0.0,0.0,-0.875,0.0,6.67
-12.5,-57.5,0.0,0.0,0.0,-0.816,0.0,6.18
-12.5,-52.5,0.0,0.0,0.0,-0.725,0.0,5.7
-12.5,-47.5,0.0,0.0,0.0,-0.652,0.0,5.22
-12.5,-42.5,0.0,0.0,0.0,-0.624,0.0,4.74
-12.5,-37.5,0.0,0.0,0.0,-0.591,0.0,4.27
-12.5,-32.5,2.0,0.0,0.0,-0.616,-1.231,3.81
-12.5,-27.5,0.0,0.0,0.0,-0.649,0.0,3.35
-12.5,-22.5,0.0,0.0,0.0,-0.717,0.0,2.92
-12.5,-17.5,0.0,0.0,0.0,-0.782,0.0,2.5
-12.5,-12.5,0.0,0.0,0.0,-0.839,0.0,2.12
-12.5,-7.5,0.0,0.0,0.0,-0.93,0.0,1.8
-12.5,-2.5,0.0,0.0,0.0,-0.951,0.0,1.58
-12.5,2.5,0.0,0.0,0.0,-0.952,0.0,1.5
-12.5,7.5,0.0,0.0,0.0,-0.951,0.0,1.58
-12.5,12.5,0.0,0.0,0.0,-0.845,0.0,1.8
-12.5,17.5,0.0,0.0,0.0,-0.92,0.0,2.12
-12.5,22.5,0.0,0.0,0.0,-0.746,0.0,2.5
-12.5,27.5,0.0,0.0,0.0,-0.683,0.0,2.92
-12.5,32.5,0.0,0.0,0.0,-0.636,0.0,3.35
-12.5,37.5,0.0,0.0,0.0,-0.533,0.0,3.81
-12.5,42.5,0.0,0.0,0.0,-0.615,0.0,4.27
-12.5,47.5,0.0,0.0,0.0,-0.734,0.0,4.74
-12.5,52.5,0.0,0.0,0.0,-0.668,0.0,5.22
-12.5,57.5,0.0,0.0,0.0,-0.783,0.0,5.7
-12.5,62.5,0.0,0.0,0.0,-0.84,0.0,6.18
-12.5,67.5,0.0,0.0,0.0,-0.809,0.0,6.67
-12.5,72.5,0.0,0.0,0.0,-0.881,0.0,7.16
-7.5,-72.5,2.0,0.0,0.0,-0.776,-1.552,7.57
-7.5,-67.5,2.0,1.0,3.0,0.51,1.021,7.07
-7.5,-62.5,0.0,0.0,0.0,-0.888,0.0,6.58
-7.5,-57.5,0.0,0.0,0.0,-0.86,0.0,6.08
-7.5,-52.5,0.0,0.0,0.0,-0.691,0.0,5.59
-7.5,-47.5,0.0,0.0,0.0,-0.68,0.0,5.1
-7.5,-42.5,0.0,0.0,0.0,-0.674,0.0,4.61
-7.5,-37.5,0.0,0.0,0.0,-0.633,0.0,4.12
-7.5,-32.5,0.0,0.0,0.0,-0.621,0.0,3.64
-7.5,-27.5,2.0,0.0,0.0,-0.646,-1.293,3.16
-7.5,-22.5,0.0,0.0,0.0,-0.663,0.0,2.69
-7.5,-17.5,0.0,0.0,0.0,-0.952,0.0,2.24
-7.5,-12.5,1.0,1.0,2.0,0.9,0.9,1.8
-7.5,-7.5,2.0,0.0,0.0,-0.926,-1.852,1.41
-7.5,-2.5,1.0,1.0,2.0,0.866,0.866,1.12
-7.5,2.5,0.0,0.0,0.0,-1.193,0.0,1.0
-7.5,7.5,0.0,0.0,0.0,-1.069,0.0,1.12
-7.5,12.5,1.0,1.0,2.0,0.914,0.914,1.41
-7.5,17.5,0.0,0.0,0.0,-1.006,0.0,1.8
-7.5,22.5,0.0,0.0,0.0,-0.833,0.0,2.24
-7.5,27.5,0.0,0.0,0.0,-0.68,0.0,2.69
-7.5,32.5,0.0,0.0,0.0,-0.563,0.0,3.16
-7.5,37.5,0.0,0.0,0.0,-0.585,0.0,3.64
-7.5,42.5,1.0,0.0,0.0,-0.64,-0.64,4.12
-7.5,47.5,0.0,0.0,0.0,-0.644,0.0,4.61
-7.5,52.5,0.0,0.0,0.0,-0.607,0.0,5.1
-7.5,57.5,0.0,0.0,0.0,-0.655,0.0,5.59
-7.5,62.5,0.0,0.0,0.0,-0.931,0.0,6.08
-7.5,67.5,1.0,1.0,3.0,1.636,1.636,6.58
-7.5,72.5,4.0,0.0,0.0,-0.859,-3.435,7.07
-2.5,-72.5,1.0,1.0,3.0,2.198,2.198,7.52
-2.5,-67.5,5.0,0.0,0.0,-1.033,-5.166,7.02
-2.5,-62.5,0.0,0.0,0.0,-0.85,0.0,6.52
-2.5,-57.5,0.0,0.0,0.0,-0.83,0.0,6.02
-2.5,-52.5,0.0,0.0,0.0,-0.695,0.0,5.52
-2.5,-47.5,1.0,0.0,0.0,-0.626,-0.626,5.02
-2.5,-42.5,3.0,3.0,6.0,1.272,3.816,4.53
-2.5,-37.5,1.0,0.0,0.0,-0.559,-0.559,4.03
-2.5,-32.5,1.0,1.0,2.0,1.376,1.376,3.54
-2.5,-27.5,1.0,1.0,2.0,1.315,1.315,3.04
-2.5,-22.5,1.0,0.0,0.0,-0.59,-0.59,2.55
-2.5,-17.5,1.0,0.0,0.0,-0.86,-0.86,2.06
-2.5,-12.5,0.0,0.0,0.0,-0.929,0.0,1.58
-2.5,-7.5,4.0,3.0,6.0,0.378,1.51,1.12
-2.5,-2.5,7.0,4.0,8.0,-0.149,-1.044,0.71
-2.5,2.5,4.0,2.0,4.0,-0.035,-0.141,0.5
-2.5,7.5,8.0,6.0,12.0,0.335,2.682,0.71
-2.5,12.5,0.0,0.0,0.0,-0.949,0.0,1.12
-2.5,17.5,0.0,0.0,0.0,-0.947,0.0,1.58
-2.5,22.5,0.0,0.0,0.0,-0.74,0.0,2.06
-2.5,27.5,1.0,1.0,2.0,1.317,1.317,2.55
-2.5,32.5,1.0,0.0,0.0,-0.611,-0.611,3.04
-2.5,37.5,1.0,0.0,0.0,-0.599,-0.599,3.54
-2.5,42.5,0.0,0.0,0.0,-0.588,0.0,4.03
-2.5,47.5,1.0,0.0,0.0,-0.567,-0.567,4.53
-2.5,52.5,0.0,0.0,0.0,-0.632,0.0,5.02
-2.5,57.5,0.0,0.0,0.0,-0.776,0.0,5.52
-2.5,62.5,0.0,0.0,0.0,-0.912,0.0,6.02
-2.5,67.5,2.0,1.0,3.0,0.606,1.212,6.52
-2.5,72.5,7.0,4.0,12.0,0.839,5.876,7.02
2.5,-72.5,4.0,0.0,0.0,-0.878,-3.514,7.5
2.5,-67.5,3.0,3.0,9.0,2.003,6.009,7.0
2.5,-62.5,0.0,0.0,0.0,-0.883,0.0,6.5
2.5,-57.5,1.0,1.0,2.0,1.19,1.19,6.0
2.5,-52.5,2.0,0.0,0.0,-0.609,-1.218,5.5
2.5,-47.5,0.0,0.0,0.0,-0.723,0.0,5.0
2.5,-42.5,2.0,1.0,2.0,0.29,0.58,4.5
2.5,-37.5,2.0,1.0,2.0,0.414,0.828,4.0
2.5,-32.5,2.0,0.0,0.0,-0.657,-1.314,3.5
2.5,-27.5,4.0,1.0,2.0,-0.188,-0.753,3.0
2.5,-22.5,5.0,2.0,4.0,-0.053,-0.263,2.5
2.5,-17.5,2.0,1.0,2.0,0.131,0.262,2.0
2.5,-12.5,11.0,5.0,10.0,0.032,0.354,1.5
2.5,-7.5,45.0,29.0,58.0,0.007,0.321,1.0
2.5,-2.5,17.0,13.0,26.0,0.195,3.309,0.5
2.5,2.5,32.0,19.0,38.0,-0.175,-5.603,0.0
2.5,7.5,38.0,24.0,48.0,-0.043,-1.622,0.5
2.5,12.5,12.0,5.0,10.0,-0.254,-3.052,1.0
2.5,17.5,2.0,2.0,4.0,1.077,2.153,1.5
2.5,22.5,1.0,0.0,0.0,-0.668,-0.668,2.0
2.5,27.5,1.0,1.0,2.0,1.269,1.269,2.5
2.5,32.5,0.0,0.0,0.0,-0.705,0.0,3.0
2.5,37.5,0.0,0.0,0.0,-0.599,0.0,3.5
2.5,42.5,1.0,0.0,0.0,-0.567,-0.567,4.0
2.5,47.5,2.0,0.0,0.0,-0.542,-1.083,4.5
2.5,52.5,1.0,0.0,0.0,-0.709,-0.709,5.0
2.5,57.5,1.0,1.0,2.0,1.199,1.199,5.5
2.5,62.5,0.0,0.0,0.0,-0.83,0.0,6.0
2.5,67.5,4.0,0.0,0.0,-0.6,-2.402,6.5
2.5,72.5,4.0,1.0,3.0,-0.537,-2.148,7.0
7.5,-72.5,0.0,0.0,0.0,-0.855,0.0,7.52
7.5,-67.5,3.0,2.0,6.0,1.425,4.274,7.02
7.5,-62.5,0.0,0.0,0.0,-0.868,0.0,6.52
7.5,-57.5,0.0,0.0,0.0,-0.781,0.0,6.02
7.5,-52.5,0.0,0.0,0.0,-0.624,0.0,5.52
7.5,-47.5,0.0,0.0,0.0,-0.475,0.0,5.02
7.5,-42.5,0.0,0.0,0.0,-0.576,0.0,4.53
7.5,-37.5,0.0,0.0,0.0,-0.557,0.0,4.03
7.5,-32.5,3.0,0.0,0.0,-0.584,-1.752,3.54
7.5,-27.5,3.0,1.0,2.0,0.002,0.006,3.04
7.5,-22.5,3.0,1.0,2.0,0.045,0.135,2.55
7.5,-17.5,4.0,2.0,4.0,0.092,0.37,2.06
7.5,-12.5,9.0,4.0,8.0,-0.051,-0.455,1.58
7.5,-7.5,13.0,9.0,18.0,0.358,4.66,1.12
7.5,-2.5,11.0,7.0,14.0,0.248,2.725,0.71
7.5,2.5,14.0,9.0,18.0,0.209,2.921,0.5
7.5,7.5,17.0,10.0,20.0,0.226,3.834,0.71
7.5,12.5,8.0,2.0,4.0,-0.359,-2.871,1.12
7.5,17.5,3.0,1.0,2.0,-0.198,-0.595,1.58
7.5,22.5,3.0,1.0,2.0,-0.204,-0.611,2.06
7.5,27.5,1.0,1.0,2.0,1.328,1.328,2.55
7.5,32.5,2.0,0.0,0.0,-0.577,-1.155,3.04
7.5,37.5,3.0,0.0,0.0,-0.597,-1.791,3.54
7.5,42.5,1.0,1.0,2.0,1.232,1.232,4.03
7.5,47.5,0.0,0.0,0.0,-0.674,0.0,4.53
7.5,52.5,0.0,0.0,0.0,-0.602,0.0,5.02
7.5,57.5,0.0,0.0,0.0,-0.738,0.0,5.52
7.5,62.5,0.0,0.0,0.0,-0.886,0.0,6.02
7.5,67.5,4.0,1.0,3.0,-0.136,-0.546,6.52
7.5,72.5,0.0,0.0,0.0,-0.996,0.0,7.02
12.5,-72.5,1.0,0.0,0.0,-0.831,-0.831,7.57
12.5,-67.5,1.0,0.0,0.0,-0.959,-0.959,7.07
12.5,-62.5,0.0,0.0,0.0,-0.857,0.0,6.58
12.5,-57.5,0.0,0.0,0.0,-0.775,0.0,6.08
12.5,-52.5,0.0,0.0,0.0,-0.712,0.0,5.59
12.5,-47.5,0.0,0.0,0.0,-0.642,0.0,5.1
12.5,-42.5,0.0,0.0,0.0,-0.519,0.0,4.61
12.5,-37.5,1.0,0.0,0.0,-0.548,-0.548,4.12
12.5,-32.5,4.0,1.0,2.0,-0.146,-0.584,3.64
12.5,-27.5,0.0,0.0,0.0,-0.696,0.0,3.16
12.5,-22.5,2.0,1.0,2.0,0.141,0.282,2.69
12.5,-17.5,7.0,2.0,4.0,-0.368,-2.573,2.24
12.5,-12.5,8.0,3.0,6.0,-0.174,-1.389,1.8
12.5,-7.5,6.0,3.0,6.0,0.016,0.093,1.41
12.5,-2.5,10.0,5.0,10.0,0.001,0.008,1.12
12.5,2.5,6.0,1.0,2.0,-0.579,-3.475,1.0
12.5,7.5,4.0,1.0,2.0,-0.595,-2.379,1.12
12.5,12.5,3.0,1.0,2.0,-0.348,-1.045,1.41
12.5,17.5,4.0,1.0,2.0,-0.353,-1.413,1.8
12.5,22.5,1.0,0.0,0.0,-0.761,-0.761,2.24
12.5,27.5,0.0,0.0,0.0,-0.695,0.0,2.69
12.5,32.5,2.0,1.0,2.0,0.334,0.667,3.16
12.5,37.5,2.0,0.0,0.0,-0.625,-1.249,3.64
12.5,42.5,1.0,1.0,2.0,1.374,1.374,4.12
