"","rank","sparseness.basis","sparseness.coef","rss","evar","silhouette.coef","silhouette.basis","residuals","niter","cpu","cpu.all","nrun","cophenetic","dispersion","silhouette.consensus"
"1",1,0.00166164211755109,NA,0.000356901480311808,0.654244483717395,NA,NA,1.55878559046308,60,0.0899999999999999,30.3289999999994,30,NA,1,NA
"2",2,0.142651710442347,0.356305172768221,0.000342628283292287,0.668071931561478,1,1,1.51460581044153,2000,2.642,135.467,30,0.968882150054817,0.517895704987579,0.805956816079336
"3",3,0.199711141473313,0.412734501913061,0.000329533929578903,0.680757351147306,0.723447534440884,0.673041595368964,1.47451280767727,2000,4.593,166.308999999999,30,0.791697893509514,0.382059770884828,0.373786260645243
"4",4,0.277280542210754,0.43694560088781,0.000316357610628004,0.693522176212173,0.596978654212818,0.543964754054149,1.43657592997626,2000,7.303,194.797999999999,30,0.765584514151498,0.468797214774267,0.341325538393945
"5",5,0.328602690078541,0.450332751489464,0.000304138967684313,0.70535923330585,0.501136695157584,0.475373563308534,1.4012003221018,2000,4.871,223.633999999999,30,0.710674070227929,0.512933100113021,0.246738383869421
"6",6,0.368647446674086,0.475085172701979,0.000293489738319075,0.71567588930283,0.456771922178373,0.441984985052344,1.36875615030352,2000,6.543,246.235,30,0.683038435298624,0.55182455849473,0.194796749895458
"7",7,0.417339230106247,0.478300100375471,0.000284609193387065,0.724279096538495,0.424744050392749,0.453325911179008,1.33847849975681,2000,7.036,281.043999999999,30,0.641249570788295,0.588152903107573,0.148197673046647
"8",8,0.457062745834513,0.491838183056127,0.000275837202749066,0.732777139609702,0.400433685569863,0.415661411980882,1.30941758465655,2000,7.003,316.296,30,0.639283703881959,0.615819497047557,0.12438935787622
"9",9,0.490654135031473,0.502894598729075,0.000275755123147846,0.732856655880891,0.369228971166435,0.487314898436224,1.28215513415723,2000,8.811,337.226,30,0.614700006633738,0.644866792625431,0.120117745486872
"10",10,0.533159754756561,0.502088107817113,0.000264408958703486,0.743848481809603,0.359094400500028,0.45180720962228,1.25516108744449,2000,14.538,365.245999999999,30,0.627118259013181,0.673830654613008,0.106901830950802
"11",11,0.558778816759361,0.509508569290742,0.000261119085965464,0.747035612459902,0.340442247771761,0.552004465704395,1.23014104246863,2000,16.239,395.543999999999,30,0.615008339531542,0.699891883331002,0.110699493880365
"12",12,0.593714675878406,0.509546473181974,0.000255078243577588,0.752887800511285,0.326739198021721,0.462253956063406,1.20488317589153,2000,17.775,439.092999999999,30,0.619152926167255,0.71113853553207,0.104192331707879
"13",13,0.604354637853208,0.523361687091669,0.000249120061730037,0.758659909494991,0.319774930157537,0.435544039569114,1.18197841639526,2000,18.44,458.95,30,0.6219459135513,0.733214507007263,0.108459066247104
"14",14,0.646623902347025,0.516211221896006,0.000250341877661788,0.757476250637886,0.301486294092145,0.523137546308977,1.15800130521242,2000,10.747,499.320999999999,30,0.61999087278058,0.745561611529804,0.109538163512404
"15",15,0.67431149696748,0.515459439142895,0.000241909768455207,0.765645026708878,0.303239986401111,0.570468497349232,1.13635503884223,2000,11.592,531.927,30,0.620655924872225,0.762659283464825,0.0981054880219776
