player,num,ave_dist,fga
A. Pasaol,8,0.005054,294
A. Melecio,9,0.005283,203
R. Subido,8,0.007133,197
D. Ildefonso,11,0.004788,195
J. Ahanmisi,6,0.008448,194
Ju. Gomez de Liaño,11,0.004806,180
B. Akhuetie,7,0.002818,177
P. Desiderio,10,0.005166,176
M. Lee,6,0.005297,176
S. Manganti,8,0.005416,172
J. Clemente,7,0.004479,165
J. Baltazar,8,0.005422,149
P. Sarr,6,0.00599,146
L. Santillian,7,0.004627,141
T. Ravena,5,0.005614,139
P. Manalang,6,0.004714,135
A. Kouame,7,0.005301,132
A. Caracut,10,0.00675,127
H. Cani,6,0.004865,120
W. Comboy,6,0.006064,119
A. Tolentino,7,0.008157,117
C. Cansino,7,0.007147,115
J. Varilla,6,0.005081,111
Z. Huang,5,0.010926,101
R. Verano,7,0.005858,96
J. Manzo,5,0.006262,96
Ja. Gomez de Liaño,6,0.005697,94
J. Parker,8,0.005519,94
R. Escoto,8,0.004774,93
S. Ildefonso,5,0.004682,90
F. Serrano,7,0.006846,89
A. Asistio,7,0.005217,89
T. Rike,8,0.006986,88
C. Conner,9,0.005849,81
J. Lastimosa,7,0.006067,81
J. Espeleta,5,0.006682,80
I. Gaye,5,0.006051,79
K. Zamora,5,0.006827,76
S. Camacho,5,0.004525,75
I. Go,8,0.006438,73
M. Nieto,9,0.005512,71
W. Bartolome,5,0.003848,69
T. Tio,5,0.010263,67
W. Navarro,11,0.005133,66
J. Gallego,5,0.00993,65
K. Montalbo,5,0.008975,61
A. Inigo,6,0.007523,58
K. Tuffin,5,0.009032,58
G. Mahinay,6,0.006619,57
J. Mendoza,5,0.006016,55
D. Yu,5,0.007637,53
B. Bienes,7,0.005623,52
A. Joson,6,0.008696,51
B. Ebona,6,0.002488,51
P. Orizu,5,0.002154,51
S. Belangel,5,0.007101,50
J. Pingoy,5,0.009095,50
M. Dyke,7,0.005655,50
A. Stockton,7,0.008467,49
J. Marcos,7,0.009067,48
A. Wong,8,0.007334,47
J. Manuel,8,0.004834,46
E. Caunan,5,0.00457,44
J. Cullar,6,0.005156,44
C. Catapusan,8,0.009589,43
A. Diputado,7,0.005048,43
M. Maloles,6,0.005371,42
L. Gonzales,7,0.005673,41
V. Magbuhos,7,0.002905,38
J. Go,6,0.006807,37
J. Nieto,5,0.008178,37
E. Mojica,5,0.005698,36
D. Murrell,8,0.004328,36
J. Sinclair,6,0.006257,35
D. Dario,9,0.005679,35
M. Aquino,7,0.005707,34
G. Mamuyac,5,0.012756,32
F. Jaboneta,5,0.010405,31
I. Batalier,8,0.00814,31
C. Vito,5,0.004525,30
S. Akomo,6,0.002298,28
R. Acuno,5,0.003932,28
