player,team,at_rim,wing+key_3pts,midrange+some_paint,left_block+some_paint,corner+some_wing_3pts
A. Pasaol,UE,0.47,0.27,0.11,0,0.14
A. Melecio,DLSU,0.18,0.27,0.2,0.12,0.22
R. Subido,UST,0.08,0.41,0.12,0.1,0.29
D. Ildefonso,NU,0.31,0.26,0.11,0.09,0.22
J. Ahanmisi,ADU,0.04,0.32,0.16,0.36,0.12
Ju. Gomez de Liaño,UP,0.26,0.21,0.21,0.06,0.27
B. Akhuetie,UP,0.94,0,0.03,0,0.03
P. Desiderio,UP,0.29,0.26,0.07,0.11,0.28
M. Lee,UST,0.05,0.25,0.07,0.06,0.57
S. Manganti,ADU,0.27,0.15,0.14,0.19,0.25
J. Clemente,NU,0.24,0.28,0.12,0,0.35
J. Baltazar,DLSU,0.43,0.13,0.19,0.25,0
P. Sarr,ADU,0.49,0,0.26,0.24,0.01
L. Santillian,DLSU,0.44,0.17,0.2,0.19,0
T. Ravena,ADMU,0.49,0.42,0.09,0.01,0
P. Manalang,UE,0.38,0.39,0.07,0.05,0.12
A. Kouame,ADMU,0.78,0.08,0.03,0.11,0
A. Caracut,DLSU,0.2,0.23,0.2,0.25,0.12
H. Cani,FEU,0.22,0.15,0.29,0.09,0.26
W. Comboy,FEU,0.12,0.22,0.12,0.29,0.26
A. Tolentino,FEU,0.23,0.59,0.07,0.11,0
C. Cansino,UST,0.59,0.07,0,0.01,0.33
J. Varilla,UE,0.15,0.31,0.24,0,0.3
Z. Huang,UST,0.2,0.03,0.16,0.61,0.01
R. Verano,ADMU,0.29,0.16,0.27,0.19,0.1
J. Manzo,UP,0.61,0.26,0.04,0.1,0
Ja. Gomez de Liaño,UP,0.56,0.17,0.02,0,0.25
J. Parker,FEU,0.31,0.2,0.28,0.03,0.18
R. Escoto,FEU,0.45,0.2,0.17,0.12,0.07
S. Ildefonso,NU,0.68,0.09,0.17,0,0.05
F. Serrano,DLSU,0.39,0.07,0.11,0.16,0.27
A. Asistio,ADMU,0.11,0.25,0.09,0.03,0.52
T. Rike,NU,0.35,0.18,0.45,0,0.01
C. Conner,ADU,0.42,0.17,0.14,0,0.28
J. Lastimosa,UE,0.27,0.39,0.03,0.15,0.17
J. Espeleta,ADU,0.19,0.17,0.43,0,0.21
I. Gaye,NU,0.36,0,0.51,0.13,0
K. Zamora,UST,0.09,0.65,0,0,0.26
S. Camacho,ADU,0.76,0,0.2,0,0.04
I. Go,ADMU,0.3,0.46,0.09,0.04,0.11
M. Nieto,ADMU,0.39,0.23,0.04,0,0.34
W. Bartolome,UE,0.47,0.01,0.52,0,0
T. Tio,ADMU,0.01,0.51,0.19,0.26,0.04
W. Navarro,ADMU,0.34,0.3,0.18,0.07,0.11
J. Gallego,NU,0.1,0.12,0.35,0.37,0.06
K. Montalbo,DLSU,0.15,0.06,0.06,0.56,0.18
A. Inigo,FEU,0.11,0.27,0.03,0.29,0.3
K. Tuffin,FEU,0.16,0.06,0,0.03,0.76
G. Mahinay,UST,0.63,0,0.37,0,0
J. Mendoza,ADMU,0.08,0.46,0.09,0,0.38
D. Yu,NU,0,0.16,0.16,0,0.68
B. Bienes,FEU,0.11,0.29,0.06,0,0.54
A. Joson,NU,0.33,0,0.06,0.47,0.14
B. Ebona,FEU,0.99,0,0.01,0,0
P. Orizu,FEU,1,0,0,0,0
S. Belangel,ADMU,0.22,0.4,0.35,0,0.04
J. Pingoy,ADU,0.01,0.83,0.07,0,0.09
M. Dyke,DLSU,0.51,0.06,0.18,0.25,0
A. Stockton,FEU,0.52,0,0.04,0.24,0.2
J. Marcos,UST,0.33,0.11,0,0.45,0.11
A. Wong,ADMU,0.14,0.57,0.02,0,0.27
J. Manuel,DLSU,0.19,0.2,0.18,0.17,0.26
E. Caunan,UE,0.43,0,0.57,0,0
J. Cullar,UST,0.36,0.24,0.12,0.17,0.11
C. Catapusan,ADU,0.4,0.08,0.06,0.44,0.02
A. Diputado,NU,0.56,0.15,0.17,0,0.12
M. Maloles,UE,0.13,0.26,0.2,0,0.42
L. Gonzales,FEU,0.27,0.15,0.24,0.27,0.07
V. Magbuhos,ADU,0.92,0.01,0.07,0,0
J. Go,ADMU,0.02,0.17,0.05,0.19,0.57
J. Nieto,ADMU,0.18,0.8,0.03,0,0
E. Mojica,ADU,0.08,0.19,0,0.16,0.57
D. Murrell,UP,0.8,0,0.12,0,0.08
J. Sinclair,NU,0.38,0,0.26,0.23,0.13
D. Dario,UP,0.23,0.33,0.04,0,0.4
M. Aquino,NU,0.28,0.32,0.31,0,0.1
G. Mamuyac,ADMU,0.11,0,0,0.61,0.27
F. Jaboneta,UP,0.41,0,0,0,0.59
I. Batalier,UST,0.25,0.24,0.14,0.37,0
C. Vito,UP,0.37,0.3,0,0,0.33
S. Akomo,UST,0.97,0,0.03,0,0
R. Acuno,UE,0.48,0,0.52,0,0
