player,at_rim,wing+key_3pts,midrange+some_paint,left_block+some_paint,corner+some_wing_3pts
A. Pasaol,0.47,0.27,0.11,0.00,0.14
A. Melecio,0.18,0.27,0.20,0.12,0.22
R. Subido,0.08,0.41,0.12,0.10,0.29
D. Ildefonso,0.31,0.26,0.11,0.09,0.22
J. Ahanmisi,0.04,0.32,0.16,0.36,0.12
Ju. Gomez de Liaño,0.26,0.21,0.21,0.06,0.27
B. Akhuetie,0.94,0.00,0.03,0.00,0.03
P. Desiderio,0.29,0.26,0.07,0.11,0.28
M. Lee,0.05,0.25,0.07,0.06,0.57
S. Manganti,0.27,0.15,0.14,0.19,0.25
J. Clemente,0.24,0.28,0.12,0.00,0.35
J. Baltazar,0.43,0.13,0.19,0.25,0.00
P. Sarr,0.49,0.00,0.26,0.24,0.01
L. Santillian,0.44,0.17,0.20,0.19,0.00
T. Ravena,0.49,0.42,0.09,0.01,0.00
P. Manalang,0.38,0.39,0.07,0.05,0.12
A. Kouame,0.78,0.08,0.03,0.11,0.00
A. Caracut,0.20,0.23,0.20,0.25,0.12
H. Cani,0.22,0.15,0.29,0.09,0.26
W. Comboy,0.12,0.22,0.12,0.29,0.26
A. Tolentino,0.23,0.59,0.07,0.11,0.00
C. Cansino,0.59,0.07,0.00,0.01,0.33
J. Varilla,0.15,0.31,0.24,0.00,0.30
Z. Huang,0.20,0.03,0.16,0.61,0.01
R. Verano,0.29,0.16,0.27,0.19,0.10
J. Manzo,0.61,0.26,0.04,0.10,0.00
Ja. Gomez de Liaño,0.56,0.17,0.02,0.00,0.25
J. Parker,0.31,0.20,0.28,0.03,0.18
R. Escoto,0.45,0.20,0.17,0.12,0.07
S. Ildefonso,0.68,0.09,0.17,0.00,0.05
F. Serrano,0.39,0.07,0.11,0.16,0.27
A. Asistio,0.11,0.25,0.09,0.03,0.52
T. Rike,0.35,0.18,0.45,0.00,0.01
C. Conner,0.42,0.17,0.14,0.00,0.28
J. Lastimosa,0.27,0.39,0.03,0.15,0.17
J. Espeleta,0.19,0.17,0.43,0.00,0.21
I. Gaye,0.36,0.00,0.51,0.13,0.00
K. Zamora,0.09,0.65,0.00,0.00,0.26
S. Camacho,0.76,0.00,0.20,0.00,0.04
I. Go,0.30,0.46,0.09,0.04,0.11
M. Nieto,0.39,0.23,0.04,0.00,0.34
W. Bartolome,0.47,0.01,0.52,0.00,0.00
T. Tio,0.01,0.51,0.19,0.26,0.04
W. Navarro,0.34,0.30,0.18,0.07,0.11
J. Gallego,0.10,0.12,0.35,0.37,0.06
K. Montalbo,0.15,0.06,0.06,0.56,0.18
A. Inigo,0.11,0.27,0.03,0.29,0.30
K. Tuffin,0.16,0.06,0.00,0.03,0.76
G. Mahinay,0.63,0.00,0.37,0.00,0.00
J. Mendoza,0.08,0.46,0.09,0.00,0.38
D. Yu,0.00,0.16,0.16,0.00,0.68
B. Bienes,0.11,0.29,0.06,0.00,0.54
A. Joson,0.33,0.00,0.06,0.47,0.14
B. Ebona,0.99,0.00,0.01,0.00,0.00
P. Orizu,1.00,0.00,0.00,0.00,0.00
S. Belangel,0.22,0.40,0.35,0.00,0.04
J. Pingoy,0.01,0.83,0.07,0.00,0.09
M. Dyke,0.51,0.06,0.18,0.25,0.00
A. Stockton,0.52,0.00,0.04,0.24,0.20
J. Marcos,0.33,0.11,0.00,0.45,0.11
A. Wong,0.14,0.57,0.02,0.00,0.27
J. Manuel,0.19,0.20,0.18,0.17,0.26
E. Caunan,0.43,0.00,0.57,0.00,0.00
J. Cullar,0.36,0.24,0.12,0.17,0.11
C. Catapusan,0.40,0.08,0.06,0.44,0.02
A. Diputado,0.56,0.15,0.17,0.00,0.12
M. Maloles,0.13,0.26,0.20,0.00,0.42
L. Gonzales,0.27,0.15,0.24,0.27,0.07
V. Magbuhos,0.92,0.01,0.07,0.00,0.00
J. Go,0.02,0.17,0.05,0.19,0.57
J. Nieto,0.18,0.80,0.03,0.00,0.00
E. Mojica,0.08,0.19,0.00,0.16,0.57
D. Murrell,0.80,0.00,0.12,0.00,0.08
J. Sinclair,0.38,0.00,0.26,0.23,0.13
D. Dario,0.23,0.33,0.04,0.00,0.40
M. Aquino,0.28,0.32,0.31,0.00,0.10
G. Mamuyac,0.11,0.00,0.00,0.61,0.27
F. Jaboneta,0.41,0.00,0.00,0.00,0.59
I. Batalier,0.25,0.24,0.14,0.37,0.00
C. Vito,0.37,0.30,0.00,0.00,0.33
S. Akomo,0.97,0.00,0.03,0.00,0.00
R. Acuno,0.48,0.00,0.52,0.00,0.00
