p_id_all,player,team,fg,fga,points
9,A. Pasaol,UE,125,294,273
8,A. Melecio,DLSU,78,203,188
104,R. Subido,UST,62,197,166
26,D. Ildefonso,NU,80,195,183
43,J. Ahanmisi,ADU,86,194,212
72,Ju. Gomez de Liaño,UP,78,180,179
13,B. Akhuetie,UP,106,177,212
88,M. Lee,UST,59,176,162
95,P. Desiderio,UP,72,176,168
111,S. Manganti,ADU,71,172,157
46,J. Clemente,NU,65,165,161
45,J. Baltazar,DLSU,71,149,144
98,P. Sarr,ADU,54,146,108
82,L. Santillian,DLSU,61,141,128
113,T. Ravena,ADMU,54,139,121
96,P. Manalang,UE,44,135,103
7,A. Kouame,ADMU,80,132,161
3,A. Caracut,DLSU,46,127,104
38,H. Cani,FEU,49,120,109
118,W. Comboy,FEU,42,119,102
11,A. Tolentino,FEU,51,117,127
18,C. Cansino,UST,51,115,116
70,J. Varilla,UE,39,111,91
122,Z. Huang,UST,40,101,81
57,J. Manzo,UP,37,96,78
105,R. Verano,ADMU,40,96,88
71,Ja. Gomez de Liaño,UP,43,94,98
62,J. Parker,FEU,29,94,64
100,R. Escoto,FEU,34,93,69
110,S. Ildefonso,NU,32,90,65
33,F. Serrano,DLSU,33,89,74
0,A. Asistio,ADMU,35,89,98
114,T. Rike,NU,39,88,79
54,J. Lastimosa,ADU,37,81,86
20,C. Conner,UE,33,81,76
49,J. Espeleta,ADU,27,80,59
40,I. Gaye,NU,32,79,64
79,K. Zamora,UST,14,76,39
108,S. Camacho,ADU,34,75,68
41,I. Go,ADMU,28,73,65
92,M. Nieto,ADMU,28,71,67
117,W. Bartolome,UE,32,69,64
115,T. Tio,ADMU,23,67,54
121,W. Navarro,ADMU,21,66,43
51,J. Gallego,NU,20,65,44
75,K. Montalbo,DLSU,19,61,41
77,K. Tuffin,FEU,26,58,69
5,A. Inigo,FEU,18,58,46
36,G. Mahinay,UST,23,57,46
59,J. Mendoza,ADMU,19,55,52
29,D. Yu,NU,15,53,41
16,B. Bienes,FEU,19,52,53
97,P. Orizu,FEU,37,51,74
6,A. Joson,NU,19,51,40
17,B. Ebona,FEU,31,51,62
107,S. Belangel,ADMU,18,50,40
87,M. Dyke,DLSU,22,50,46
63,J. Pingoy,ADU,14,50,39
10,A. Stockton,FEU,22,49,47
58,J. Marcos,UST,18,48,40
12,A. Wong,ADMU,9,47,22
56,J. Manuel,DLSU,13,46,32
30,E. Caunan,UST,16,44,32
48,J. Cullar,UE,19,44,41
19,C. Catapusan,ADU,14,43,29
4,A. Diputado,NU,17,43,35
90,M. Maloles,UE,12,42,29
80,L. Gonzales,FEU,17,41,38
116,V. Magbuhos,ADU,19,38,38
60,J. Nieto,ADMU,11,37,27
52,J. Go,DLSU,17,37,48
31,E. Mojica,ADU,7,36,18
28,D. Murrell,UP,16,36,32
65,J. Sinclair,NU,17,35,35
25,D. Dario,UP,17,35,44
83,M. Aquino,NU,11,34,25
37,G. Mamuyac,ADMU,16,32,35
32,F. Jaboneta,UP,10,31,23
39,I. Batalier,UST,9,31,20
23,C. Vito,UP,14,30,31
99,R. Acuno,UE,9,28,18
106,S. Akomo,UST,15,28,30
44,J. Antiporda,UE,4,25,12
94,N. Consejo,UST,8,24,17
112,T. Agustin,UST,9,24,19
2,A. Black,ADMU,8,23,17
50,J. Galinato,NU,8,22,16
47,J. Colonia,ADU,4,22,8
15,B. Bates,DLSU,16,22,32
74,K. Bernardo,ADU,10,21,20
64,J. Prado,UP,12,21,24
84,M. Bonleon,UST,5,18,11
68,J. Strait,UE,9,18,21
102,R. Morido,NU,5,17,10
76,K. Samuel,DLSU,7,17,14
55,J. Lim,UP,3,17,7
119,W. Gozum,UP,5,16,10
103,R. Ramirez,FEU,6,15,15
1,A. Beltran,UE,7,15,14
101,R. Gallardo,UE,7,15,15
78,K. Zaldivar,ADU,7,15,14
14,B. Andrade,ADMU,6,15,17
85,M. Corteza,DLSU,2,12,4
93,M. Salim,NU,6,12,13
69,J. Tibayan,NU,6,12,12
34,F. Tungcab,UP,3,10,7
22,C. Lacap,UE,2,10,4
86,M. Daves,ADMU,7,9,14
109,S. Gagate,UE,2,9,4
73,K. Bayquin,FEU,2,9,4
91,M. Malonzo,NU,2,7,4
53,J. Lagumen,UST,1,6,2
35,G. Capacio,DLSU,0,5,0
66,J. Sobrevega,UE,2,5,5
67,J. Spencer,UP,1,5,2
89,M. Macion,ADU,1,5,2
61,J. Nunag,FEU,3,4,8
81,L. Guion,UE,1,3,2
24,D. Ando,UST,1,3,2
27,D. Longa,UP,0,2,0
120,W. Magbuhos,ADU,0,2,0
42,I. Maata,ADU,0,1,0
21,C. Jopia,FEU,1,1,2
