fg_id_all,team,opponent,made,x,y,num,player,points,shot_type,date,venue,made_points
38,NU,UST,1,-8,1,14,J. Galinato,2,jump shot,2018.09.08,MOA,2
54,NU,UST,0,-32,67,14,J. Galinato,3,jump shot,2018.09.08,MOA,0
55,NU,UST,1,-43,31,14,J. Galinato,2,jump shot,2018.09.08,MOA,2
97,UST,NU,0,-70,6,4,M. Bonleon,3,jump shot,2018.09.08,MOA,0
243,DLSU,FEU,0,-34,2,3,M. Corteza,2,jump shot,2018.09.09,MOA,0
245,DLSU,FEU,0,-50,54,2,K. Samuel,3,jump shot,2018.09.09,MOA,0
246,DLSU,FEU,0,69,5,2,K. Samuel,3,jump shot,2018.09.09,MOA,0
260,DLSU,FEU,0,-1,78,24,G. Capacio,3,jump shot,2018.09.09,MOA,0
262,DLSU,FEU,0,-45,24,24,G. Capacio,2,jump shot,2018.09.09,MOA,0
286,DLSU,FEU,1,6,3,32,B. Bates,2,jump shot,2018.09.09,MOA,2
331,ADMU,ADU,1,-8,1,8,A. Black,2,lay up,2018.09.09,MOA,2
333,ADMU,ADU,0,0,31,8,A. Black,2,jump shot,2018.09.09,MOA,0
335,ADMU,ADU,1,6,8,8,A. Black,2,lay up,2018.09.09,MOA,2
388,ADU,ADMU,0,-9,6,20,K. Bernardo,2,jump shot,2018.09.09,MOA,0
424,ADU,ADMU,0,27,33,17,J. Colonia,2,jump shot,2018.09.09,MOA,0
452,UST,FEU,0,-29,3,4,M. Bonleon,2,jump shot,2018.09.12,SAC,0
459,UST,FEU,0,-3,38,16,N. Consejo,2,jump shot,2018.09.12,SAC,0
603,UP,ADMU,0,9,3,20,J. Prado,2,jump shot,2018.09.12,SAC,0
614,UP,ADMU,0,-72,4,3,J. Spencer,3,jump shot,2018.09.12,SAC,0
638,UP,ADMU,1,-6,0,20,J. Prado,2,jump shot,2018.09.12,SAC,2
641,UP,ADMU,0,11,6,19,W. Gozum,2,jump shot,2018.09.12,SAC,0
653,UP,ADMU,0,7,27,19,W. Gozum,2,jump shot,2018.09.12,SAC,0
655,UP,ADMU,0,69,-7,12,J. Lim,3,jump shot,2018.09.12,SAC,0
689,ADMU,UP,1,3,4,8,A. Black,2,jump shot,2018.09.12,SAC,2
