p_id_retained,player,team,b1_norm,b2_norm,b3_norm,b4_norm,b5_norm
14,T. Ravena,ADMU,0.485232061842945,0.4239618308543605,0.08536343954194064,0.005442667760750933,2.9648579198299155e-15
16,A. Kouame,ADMU,0.7753649265852441,0.08213355063797961,0.029139013966452288,0.11336250881032392,2.5938197390363807e-27
24,R. Verano,ADMU,0.288822032027125,0.15541506385990372,0.2659682647232909,0.1888033828707984,0.10099125651888212
30,A. Asistio,ADMU,0.10589075346380143,0.24539887460584106,0.09264235770970083,0.03413706196527588,0.5219309522553808
39,I. Go,ADMU,0.29948053310489825,0.4602479375558001,0.09492650054935822,0.03797837955595862,0.10736664923398494
40,M. Nieto,ADMU,0.3863392600776124,0.22730507460936755,0.04382941410221392,2.6004651829383463e-12,0.3425262512082057
42,T. Tio,ADMU,0.00639493285787385,0.5088940754593029,0.18744951781462274,0.25525464917983903,0.042006824688361664
43,W. Navarro,ADMU,0.3449798899300617,0.30106996689509197,0.17536899301857162,0.07199194334698435,0.1065892068092903
49,J. Mendoza,ADMU,0.07598791888132468,0.459525512150643,0.08672952680547144,6.116372051071978e-11,0.3777570421013973
55,S. Belangel,ADMU,0.21525857692028055,0.39774726672960337,0.3508382436769798,2.124431367392959e-10,0.03615591246069317
60,A. Wong,ADMU,0.1437850192445927,0.5694986487853282,0.021107523580375445,5.469210622025911e-19,0.2656088083897037
70,J. Nieto,ADMU,0.17706142473373748,0.7976754440276242,0.02526313123850356,1.3464048625397219e-13,6.4354832189188314e-27
76,G. Mamuyac,ADMU,0.11367016087239674,1.1187073585775328e-05,4.556196228848504e-28,0.6126962694725643,0.2736223825814532
