st,pwp,rank_p,champ,finals,final4,rank_s,rank_ps
season 71-admu,0.94,1,1,1,1,1,1
season 71-ue,0.85,2,0,0,1,3.5,2
season 71-dlsu,0.82,3,0,1,1,2,3.5
season 71-ust,0.63,4,0,0,0,6.5,3.5
season 71-feu,0.62,5,0,0,1,3.5,6.5
season 71-up,0.1,6,0,0,0,6.5,6.5
season 71-adu,0.1,7,0,0,0,6.5,6.5
season 71-nu,0.07,8,0,0,0,6.5,6.5
season 72-admu,0.92,1,1,1,1,1,1
season 72-feu,0.84,2,0,0,0,6.5,2
season 72-ue,0.76,3,0,1,1,2,3.5
season 72-adu,0.6,4,0,0,1,3.5,3.5
season 72-dlsu,0.39,5,0,0,1,3.5,6.5
season 72-ust,0.33,6,0,0,0,6.5,6.5
season 72-up,0.2,7,0,0,0,6.5,6.5
season 72-nu,0.04,8,0,0,0,6.5,6.5
season 73-admu,0.88,1,1,1,1,1,1
season 73-feu,0.79,2,0,1,1,2,2
season 73-dlsu,0.73,3,0,0,1,3.5,3.5
season 73-adu,0.67,4,0,0,1,3.5,3.5
season 73-ust,0.35,5,0,0,0,6.5,6.5
season 73-ue,0.34,6,0,0,0,6.5,6.5
season 73-nu,0.33,7,0,0,0,6.5,6.5
season 73-up,0.04,8,0,0,0,6.5,6.5
season 74-admu,0.96,1,1,1,1,1,1
season 74-adu,0.92,2,0,0,1,3.5,2
season 74-nu,0.67,3,0,0,0,6.5,3.5
season 74-feu,0.5,4,0,1,1,2,3.5
season 74-ust,0.47,5,0,0,1,3.5,6.5
season 74-dlsu,0.36,6,0,0,0,6.5,6.5
season 74-up,0.07,7,0,0,0,6.5,6.5
season 74-ue,0.05,8,0,0,0,6.5,6.5
season 75-admu,0.89,1,1,1,1,1,1
season 75-nu,0.72,2,0,0,1,3.5,2
season 75-feu,0.7,3,0,0,0,6.5,3.5
season 75-dlsu,0.65,4,0,0,1,3.5,3.5
season 75-ust,0.62,5,0,1,1,2,6.5
season 75-adu,0.29,6,0,0,0,6.5,6.5
season 75-up,0.24,7,0,0,0,6.5,6.5
season 75-ue,0.06,8,0,0,0,6.5,6.5
season 76-nu,0.85,1,0,0,1,3.5,1
season 76-dlsu,0.72,2,1,1,1,1,2
season 76-feu,0.71,3,0,0,1,3.5,3.5
season 76-ust,0.66,4,0,1,1,2,3.5
season 76-admu,0.61,5,0,0,0,6.5,6.5
season 76-ue,0.42,6,0,0,0,6.5,6.5
season 76-adu,0.22,7,0,0,0,6.5,6.5
season 76-up,0.04,8,0,0,0,6.5,6.5
season 77-ue,0.88,1,0,0,0,6.5,1
season 77-nu,0.86,2,1,1,1,1,2
season 77-dlsu,0.81,3,0,0,1,3.5,3.5
season 77-admu,0.76,4,0,0,1,3.5,3.5
season 77-feu,0.72,5,0,1,1,2,6.5
season 77-ust,0.26,6,0,0,0,6.5,6.5
season 77-up,0.05,7,0,0,0,6.5,6.5
season 77-adu,0.02,8,0,0,0,6.5,6.5
season 78-feu,0.84,1,1,1,1,1,1
season 78-ust,0.75,2,0,1,1,2,2
season 78-admu,0.69,3,0,0,1,3.5,3.5
season 78-nu,0.6,4,0,0,1,3.5,3.5
season 78-ue,0.5,5,0,0,0,6.5,6.5
season 78-dlsu,0.42,6,0,0,0,6.5,6.5
season 78-up,0.17,7,0,0,0,6.5,6.5
season 78-adu,0.12,8,0,0,0,6.5,6.5
season 79-dlsu,0.96,1,1,1,1,1,1
season 79-admu,0.8,2,0,1,1,2,2
season 79-adu,0.73,3,0,0,1,3.5,3.5
season 79-feu,0.57,4,0,0,1,3.5,3.5
season 79-nu,0.29,5,0,0,0,6.5,6.5
season 79-up,0.24,6,0,0,0,6.5,6.5
season 79-ue,0.22,7,0,0,0,6.5,6.5
season 79-ust,0.06,8,0,0,0,6.5,6.5
season 80-admu,0.94,1,1,1,1,1,1
season 80-dlsu,0.9,2,0,1,1,2,2
season 80-feu,0.69,3,0,0,1,3.5,3.5
season 80-adu,0.6,4,0,0,1,3.5,3.5
season 80-up,0.3,5,0,0,0,6.5,6.5
season 80-nu,0.26,6,0,0,0,6.5,6.5
season 80-ue,0.14,7,0,0,0,6.5,6.5
season 80-ust,0.09,8,0,0,0,6.5,6.5
season 81-admu,0.98,1,1,1,1,1,1
season 81-dlsu,0.72,2,0,0,1,3.5,2
season 81-adu,0.66,3,0,0,1,3.5,3.5
season 81-up,0.64,4,0,1,1,2,3.5
season 81-feu,0.53,5,0,0,0,6.5,6.5
season 81-nu,0.34,6,0,0,0,6.5,6.5
season 81-ust,0.11,7,0,0,0,6.5,6.5
season 81-ue,0.04,8,0,0,0,6.5,6.5
